MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), Ozone (ug/m3), PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3)
2018-12-19,705.6,1489.9,2572.05,533.25,136.1,71.5
2018-12-20,538.25,1287.18,2112.4,618.75,170.6,90.5
2018-12-21,240.85,694.69,1063.52,952.9,259.6,149.3
2018-12-22,246.71,767.38,1144.85,846.4,240.0,133.8
2018-12-23,314.99,777.79,1260.18,644.6,125.0,78.4
2018-12-24,981.37,1034.64,2539.16,247.6,404.0,298.6
2018-12-25,1026.5,1020.79,2594.54,62.1,396.3,300.9
2018-12-26,426.88,895.39,1549.77,128.15,367.5,292.6
2018-12-27,1623.96,956.69,3446.61,38.15,604.4,490.0
2018-12-28,555.84,782.0,1634.44,109.0,570.4,426.6
2018-12-29,136.77,611.3,821.42,620.45,272.0,170.2
2018-12-30,99.75,592.85,746.0,565.6,200.9,159.2
2018-12-31,84.03,483.55,612.88,1124.15,180.4,112.1
2019-01-01,61.91,469.65,565.16,1097.2,253.1,149.7
2019-01-02,78.13,712.25,832.49,949.5,330.2,161.7
2019-01-03,94.9,801.3,947.2,954.7,292.0,185.5
2019-01-04,324.8,1129.75,1627.75,345.35,742.3,574.5
2019-01-05,138.25,895.1,1107.15,585.55,621.2,515.0
2019-01-06,189.0,921.1,1211.25,498.0,528.1,366.7
2019-01-07,302.95,912.35,1376.9,720.05,345.0,213.4
2019-01-08,107.4,660.75,825.45,1016.55,430.8,225.9
2019-01-09,98.95,722.45,874.1,900.15,302.0,172.5
2019-01-10,686.85,1275.8,2328.95,171.0,720.8,560.0
2019-01-11,410.7,1078.4,1708.3,369.15,482.1,359.8
2019-01-12,92.2,575.55,716.85,984.25,137.6,95.9
2019-01-13,41.35,350.3,413.6,1316.55,150.1,97.4
2019-01-14,138.6,741.5,954.0,980.4,336.2,163.1
2019-01-15,636.55,1308.6,2284.8,515.05,158.8,99.6
2019-01-16,485.15,1131.4,1875.25,720.15,122.1,88.2
2019-01-17,333.28,1003.95,1514.88,639.8,298.5,146.8
2019-01-18,1880.45,1661.6,4544.9,294.8,334.5,212.4
2019-01-19,501.9,1022.1,1791.65,577.9,383.6,284.8
2019-01-20,932.45,1240.2,2670.25,259.85,673.4,535.1
2019-01-21,2777.4,1661.75,5920.1,191.1,837.4,709.9
2019-01-22,972.05,1460.45,2951.05,564.1,221.2,150.0
2019-01-23,844.7,1219.65,2515.0,551.15,409.2,315.2
2019-01-24,2793.6,1799.8,6083.7,35.35,692.2,579.8
2019-01-25,986.9,1148.2,2661.45,343.2,402.1,331.9
2019-01-26,234.85,877.45,1237.25,974.15,125.8,84.4
