MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), Ozone (ug/m3), PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3)
2018-08-26,488.28,490.94,1081.12,314.4,277.42,151.35
2018-08-27,643.86,578.26,1389.48,314.4,274.1,150.55
2018-08-28,497.95,707.3,1348.31,314.4,290.6,159.95
2018-08-29,951.29,1021.9,2310.68,314.4,445.25,273.2
2018-08-30,910.74,973.34,2219.89,314.4,409.0,200.1
2018-08-31,826.02,981.65,2147.05,314.4,438.25,215.1
2018-09-01,454.51,780.47,1356.95,314.4,398.8,217.45
2018-09-02,483.24,964.59,1572.81,314.4,464.17,257.3
2018-09-03,696.21,1194.11,2124.77,314.4,555.18,294.9
2018-09-04,642.79,855.57,1658.1,314.4,474.15,250.8
2018-09-05,670.02,833.1,1667.91,314.4,435.4,224.8
2018-09-06,970.34,925.22,2257.28,314.4,451.2,239.0
2018-09-07,942.17,923.03,2228.44,314.4,315.25,159.8
2018-09-08,564.26,646.75,1396.14,314.4,273.95,168.6
2018-09-09,408.26,514.86,984.56,314.4,300.0,144.95
2018-09-10,608.72,596.35,1366.91,314.4,306.6,143.25
2018-09-11,480.95,436.27,1014.24,314.4,328.4,151.9
2018-09-12,944.74,881.36,2174.04,314.4,373.3,205.05
2018-09-13,1164.47,988.82,2710.23,314.4,380.95,207.95
2018-09-14,813.92,841.89,1978.56,314.4,282.4,174.0
2018-09-15,605.28,667.44,1466.56,314.4,337.8,179.15
2018-09-16,378.76,455.07,888.46,314.4,300.65,136.55
2018-09-17,360.95,556.1,978.92,314.4,303.68,151.85
2018-09-18,468.38,437.51,996.35,314.4,347.1,144.3
2018-09-19,406.02,337.71,798.46,314.4,383.05,147.05
2018-09-20,366.61,302.32,705.76,314.4,413.2,158.55
2018-09-21,824.37,692.78,1790.06,314.4,287.18,138.85
2018-09-22,762.89,823.19,1836.5,314.4,298.45,143.05
