MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3)
2018-12-23,417.78,751.53,1392.02,236.7,142.0
2018-12-24,2068.82,1566.98,4739.35,638.3,432.0
2018-12-25,1235.12,1167.85,3061.73,570.3,379.0
2018-12-26,966.88,1191.22,2673.85,581.6,368.0
2018-12-27,3393.03,1845.05,7047.67,1038.3,815.0
2018-12-28,1911.45,1560.7,4491.4,781.5,537.5
2018-12-29,644.95,852.22,1841.12,384.65,205.0
2018-12-30,513.0,811.82,1598.45,303.95,217.0
2018-12-31,796.85,1043.8,2265.18,343.75,196.0
2019-01-01,292.95,629.35,1078.62,341.8,177.19
2019-01-02,382.35,1089.9,1676.49,367.95,199.81
2019-01-03,741.05,1398.85,2535.3,389.3,204.0
2019-01-04,1746.57,1912.83,4590.75,962.75,644.0
2019-01-05,814.92,1416.5,2666.32,718.45,505.0
2019-01-06,774.75,1284.1,2471.85,668.7,375.0
2019-01-07,585.67,906.6,1804.82,470.78,228.0
2019-01-08,893.73,1253.48,2623.6,596.05,209.0
2019-01-09,709.92,1191.78,2280.6,463.35,168.0
2019-01-10,2270.6,1911.32,5392.72,916.65,656.0
2019-01-11,2410.07,1871.0,5566.28,761.85,501.0
2019-01-12,527.6,687.98,1496.55,284.95,99.0
2019-01-13,273.62,411.92,831.35,286.55,88.0
2019-01-14,1022.96,1255.78,2824.29,555.65,296.5
2019-01-15,732.73,895.35,2018.53,358.92,113.0
2019-01-16,552.92,739.18,1586.84,280.1,131.0
2019-01-17,1402.17,1458.89,3608.81,564.65,256.0
2019-01-18,1823.35,1737.6,4533.52,760.25,258.0
2019-01-19,728.45,1011.4,2128.33,555.3,279.0
2019-01-20,1268.65,1462.72,3407.95,844.2,647.0
2019-01-21,2878.61,1833.38,6247.01,1140.25,879.5
2019-01-22,1490.42,1641.62,3927.05,404.0,216.0
2019-01-23,1786.65,1654.9,4394.58,559.9,343.0
2019-01-24,3338.1,2248.22,7366.62,834.3,709.0
2019-01-25,1431.2,1509.32,3703.48,499.05,367.0
2019-01-26,413.65,576.32,1210.5,236.65,86.0
2019-01-27,295.25,435.83,888.45,301.95,120.0
2019-01-28,1425.9,1560.7,3747.12,567.4,189.0
2019-01-29,1685.7,1808.32,4393.05,668.75,232.0
2019-01-30,2691.18,2000.65,6127.02,501.5,304.0
2019-01-31,1822.68,1527.4,4322.02,544.9,391.0
2019-02-01,351.67,952.78,1492.0,390.7,301.0
2019-02-02,657.02,1031.82,2039.18,483.7,277.0
2019-02-03,881.85,1248.1,2600.23,448.2,185.0
2019-02-04,934.2,1111.75,2544.43,313.05,161.0
2019-02-05,1398.7,1429.68,3574.58,388.4,216.0
2019-02-06,1401.31,1473.79,3622.0,385.37,138.5
2019-02-07,528.38,680.75,1490.55,376.2,118.0
2019-02-08,495.0,627.85,1386.82,318.05,106.0
2019-02-09,448.0,593.95,1280.8,355.2,123.0
2019-02-10,421.05,721.88,1367.3,140.15,60.0
2019-02-11,2100.35,1824.58,5045.1,591.0,212.0
2019-02-12,1347.93,1412.72,3479.6,581.45,231.0
2019-02-13,1623.22,1622.88,4111.52,769.65,336.0
2019-02-14,2873.75,2139.3,6545.6,1062.1,591.0
2019-02-15,2473.85,2164.68,5958.0,1170.8,728.0
2019-02-16,1054.1,1376.8,2993.2,941.7,662.0
2019-02-17,679.16,1130.7,2172.03,803.4,446.0
2019-02-18,1198.1,1404.07,3241.2,516.85,225.0
2019-02-19,801.08,1036.25,2264.5,536.85,153.0
2019-02-20,913.48,1190.68,2591.4,600.15,254.0
2019-02-21,917.24,1251.94,2658.4,702.97,329.0
2019-02-22,1433.62,1541.35,3739.32,721.55,405.0
2019-02-23,1462.45,1613.28,3855.85,942.55,642.0
2019-02-24,1412.65,1541.23,3707.42,972.25,790.0
2019-02-25,2578.4,2176.45,6129.82,1156.7,801.0
2019-02-26,3177.45,2455.32,7327.55,1238.5,701.0
2019-02-27,3512.53,2402.93,7788.88,1540.35,1022.0
2019-02-28,755.15,1145.82,2303.75,747.65,514.0
2019-03-01,1295.9,1478.9,3465.7,866.95,463.0
2019-03-02,527.02,740.15,1548.5,453.6,187.0
2019-03-03,212.18,339.8,665.35,294.3,120.0
2019-03-04,550.95,717.22,1562.07,277.5,76.0
2019-03-05,739.75,954.62,2088.95,384.45,136.0
2019-03-06,782.55,925.88,2125.7,448.35,201.0
2019-03-07,351.05,487.08,1024.97,278.85,120.0
2019-03-08,921.48,1053.79,2466.61,417.45,136.0
2019-03-09,666.82,771.05,1793.47,565.1,200.0
2019-03-10,373.95,525.38,1098.88,349.45,105.0
2019-03-11,1272.63,1061.07,3012.3,416.52,84.0
2019-03-12,877.2,824.5,2169.32,233.0,83.0
2019-03-13,752.1,703.45,1856.22,438.68,151.0
2019-03-14,399.98,639.12,1252.32,339.95,108.0
2019-03-15,363.18,494.82,1052.05,204.2,74.0
2019-03-16,237.88,328.55,693.38,316.65,124.0
2019-03-17,345.02,543.15,1072.28,186.53,83.0
