MeasurementDateGMT,Southwark - Elephant and Castle: Nitric Oxide (ug/m3),Southwark - Elephant and Castle: Nitrogen Dioxide (ug/m3),Southwark - Elephant and Castle: Oxides of Nitrogen (ug/m3),Southwark - Elephant and Castle: Ozone (ug/m3),Southwark - Elephant and Castle: PM10 Particulate (ug/m3)
2018-11-13,156.70000000000002,728.9,969.5000000000001,942.8000000000001,435.5999999999999
2018-11-14,299.1,851.3,1310.2,697.3999999999999,495.6000000000001
2018-11-15,378.3000000000001,793.3999999999999,1372.9999999999998,296.99999999999994,664.5000000000001
2018-11-16,402.29999999999995,779.0999999999998,1396.3000000000002,160.6,408.1
2018-11-17,292.49999999999994,1008.5,1457.0000000000005,189.5,651.5999999999999
2018-11-18,145.8,786.9999999999998,1010.9,610.0,550.4000000000001
2018-11-19,116.89999999999998,586.8000000000001,766.2,845.8000000000001,467.11126760563377
2018-11-20,248.1,855.5999999999999,1235.6999999999998,479.1000000000001,901.4197183098591
2018-11-21,646.3000000000001,1050.8,2041.9000000000003,191.59999999999997,1333.0140845070423
2018-11-22,2121.2000000000003,1446.7,4699.099999999999,46.4,1607.054929577465
2018-11-23,782.4,1213.2000000000003,2412.7000000000007,59.4,1073.9
2018-11-24,339.3,1035.6000000000001,1555.7000000000003,266.70000000000005,774.5999999999998
2018-11-25,158.00000000000003,777.6999999999999,1019.6999999999999,401.9,568.9
2018-11-26,254.09999999999997,991.5,1380.8999999999999,346.09999999999997,421.6
2018-11-27,458.05,984.65,1687.3499999999997,291.5,471.00000000000006
2018-11-28,120.69999999999997,579.0,764.3000000000002,1102.1,334.9000000000001
2018-11-29,95.90000000000002,498.19999999999993,645.4,1252.1999999999998,377.30000000000007
2018-11-30,117.2,801.5,981.1,944.9999999999998,447.09999999999997
2018-12-01,68.8,552.6,657.9,1120.6,270.70000000000005
2018-12-02,32.1,331.49999999999994,380.80000000000007,1171.3,144.5
2018-12-03,51.39999999999999,685.4,764.1999999999999,1007.1999999999997,341.80000000000007
2018-12-04,833.5,1401.8999999999999,2680.0000000000005,231.3,504.30000000000007
