MeasurementDateGMT,London Teddington Bushy Park : PM10 Particulate (ug/m3),London Teddington Bushy Park : PM2.5 Particulate (ug/m3)
2019-11-12,300.0,122.70000000000002
2019-11-13,300.0,718.9499999999999
2019-11-14,300.0,155.35
2019-11-15,300.0,289.2
2019-11-16,300.0,417.8
2019-11-17,300.0,1252.7
2019-11-18,300.0,216.09999999999994
2019-11-19,300.0,536.1
2019-11-20,300.0,251.69999999999996
2019-11-21,300.0,586.8000000000001
2019-11-22,300.0,195.39999999999998
2019-11-23,300.0,349.3
2019-11-24,300.0,347.70000000000005
2019-11-25,300.0,136.20000000000002
2019-11-26,300.0,137.99999999999997
2019-11-27,300.0,162.39999999999998
2019-11-28,300.0,189.70000000000007
2019-11-29,300.0,360.4
2019-11-30,300.0,450.4999999999999
2019-12-01,300.0,222.89999999999998
2019-12-02,300.0,486.3999999999999
2019-12-03,300.0,390.69999999999993
2019-12-04,300.0,552.4553846153846
2019-12-05,300.0,815.2246153846154
2019-12-06,300.0,480.2584615384616
2019-12-07,300.0,163.46153846153857
2019-12-08,260.9,146.29999999999998
2019-12-09,235.49999999999997,140.9
2019-12-10,232.4,150.09999999999997
2019-12-11,214.0,122.6
2019-12-12,147.70000000000002,95.9
2019-12-13,242.7,140.29999999999998
2019-12-14,308.80000000000007,168.79999999999998
2019-12-15,236.29999999999995,124.5
2019-12-16,200.39999999999998,129.4
2019-12-17,273.3,224.20000000000002
2019-12-18,226.30000000000004,152.20000000000002
2019-12-19,350.9,193.4
2019-12-20,113.49999999999999,78.60000000000001
2019-12-21,179.69999999999996,100.50000000000001
2019-12-22,186.3,123.3
2019-12-23,263.4,147.2
2019-12-24,255.69999999999996,160.90000000000003
2019-12-25,217.30000000000004,173.5
2019-12-26,233.70000000000005,172.70000000000002
2019-12-27,319.9000000000001,292.29999999999995
2019-12-28,332.49999999999994,299.79999999999995
2019-12-29,391.40000000000003,360.4999999999999
2019-12-30,452.09999999999997,406.59999999999997
2019-12-31,618.0,549.7
2020-01-01,879.0000000000001,824.8
2020-01-02,225.89999999999998,171.00000000000003
2020-01-03,216.70000000000002,134.6
2020-01-04,244.19999999999996,174.5
2020-01-05,119.10000000000001,88.60000000000001
2020-01-06,222.50000000000003,150.40000000000003
2020-01-07,282.4,181.39999999999995
2020-01-08,408.50000000000006,274.4
2020-01-09,166.7,95.89999999999999
2020-01-10,189.20000000000002,153.4
2020-01-11,275.4,154.4
2020-01-12,129.2,80.2
2020-01-13,197.2,111.90000000000002
2020-01-14,219.7,127.30000000000001
2020-01-15,197.3,105.89999999999999
2020-01-16,263.5,152.4
2020-01-17,153.79999999999998,93.49999999999999
2020-01-18,345.9,266.3
2020-01-19,444.7999999999999,355.4
2020-01-20,691.2999999999998,607.1000000000001
2020-01-21,750.5000000000001,681.4999999999999
2020-01-22,837.2999999999998,755.9
2020-01-23,357.9,327.09999999999997
2020-01-24,393.19999999999993,355.99999999999994
2020-01-25,617.4,486.2
2020-01-26,466.3,309.8
2020-01-27,146.8,84.65000000000002
2020-01-28,136.3,73.0
2020-01-29,313.99999999999994,173.7
2020-01-30,123.99999999999999,80.0
2020-01-31,49.199999999999996,32.300000000000004
2020-02-01,297.20000000000005,167.1
2020-02-02,340.8999999999999,214.70000000000002
2020-02-03,345.80000000000007,201.69999999999996
2020-02-04,268.1,154.6
2020-02-05,466.4,371.80000000000007
2020-02-06,475.9,409.7
2020-02-07,616.8000000000001,507.0
2020-02-08,325.29999999999995,185.9
2020-02-09,243.5,148.5
2020-02-10,226.09999999999997,124.1
2020-02-11,478.0,208.99999999999994
2020-02-12,197.6,108.69999999999999
2020-02-13,143.89999999999995,88.19999999999999
2020-02-14,301.09999999999997,185.8
2020-02-15,104.30000000000001,69.10000000000001
2020-02-16,101.39999999999999,57.300000000000004
2020-02-17,297.50000000000006,160.60000000000002
2020-02-18,211.80000000000004,116.4
2020-02-19,257.0999999999999,154.7
2020-02-20,122.29999999999998,71.0
2020-02-21,362.2,192.89999999999998
2020-02-22,361.4999999999999,213.7
2020-02-23,123.4,80.7
2020-02-24,103.30000000000001,63.6
2020-02-25,136.8,72.69999999999999
2020-02-26,171.29999999999998,93.89999999999999
2020-02-27,158.2,101.99999999999999
2020-02-28,196.10000000000005,110.70000000000002
2020-02-29,413.29999999999984,185.29999999999998
2020-03-01,215.20000000000002,115.60000000000004
2020-03-02,151.0,87.0
2020-03-03,236.8,134.00000000000003
2020-03-04,220.70000000000002,160.00000000000003
2020-03-05,279.40000000000003,232.64999999999998
2020-03-06,399.6,296.4
