MeasurementDateGMT,Croydon - Norbury: Nitric Oxide (ug/m3),Croydon - Norbury: Nitrogen Dioxide (ug/m3),Croydon - Norbury: Oxides of Nitrogen (ug/m3)
2019-04-26,382.9,600.3000000000001,1187.4
2019-04-27,131.29999999999998,291.5,492.9
2019-04-28,701.2,799.5,1874.8
2019-04-29,1836.7000000000003,1588.9000000000003,4405.2
2019-04-30,1593.2000000000003,1624.4000000000003,4067.0000000000005
2019-05-01,539.7,1067.8,1895.5999999999995
2019-05-02,523.0999999999999,918.8,1721.3999999999999
2019-05-03,1413.1000000000001,1324.8,3491.6000000000004
2019-05-04,1200.1000000000004,1094.8999999999999,2935.1
2019-05-05,773.5000000000001,1181.8999999999999,2368.5
2019-05-06,283.2,738.8999999999999,1172.4
2019-05-07,688.4,1043.6,2098.4999999999995
2019-05-08,548.8,799.3999999999997,1641.2
2019-05-09,838.6,1113.25,2398.75
2019-05-10,599.5,1023.9000000000002,1943.0
2019-05-11,1424.7999999999997,1580.3000000000002,3765.7000000000003
2019-05-12,1372.3000000000004,1378.6000000000001,3482.4999999999995
2019-05-13,1648.1,1586.8999999999996,4113.9
2019-05-14,1490.8000000000002,1479.1000000000001,3765.6
2019-05-15,1641.9,1771.4999999999995,4289.400000000001
2019-05-16,1551.8999999999999,1590.7000000000003,3970.5999999999995
2019-05-17,1905.8000000000002,1543.1,4465.1
2019-05-18,1059.5,1479.3999999999996,3104.2
2019-05-19,1385.8999999999996,1690.2999999999997,3815.2000000000003
2019-05-20,1275.6999999999996,1660.0,3616.3999999999996
2019-05-21,919.1,1409.1000000000001,2818.1
2019-05-22,786.1000000000001,1136.6000000000001,2342.2500000000005
2019-05-23,384.50000000000006,967.8999999999997,1557.3000000000002
2019-05-24,883.0000000000003,1193.4999999999998,2547.2999999999997
2019-05-25,461.5,826.5,1534.7
2019-05-26,224.8,410.99999999999994,755.6999999999999
2019-05-27,152.10000000000002,386.19999999999993,619.6
2019-05-28,1009.5999999999998,1048.2,2596.3
2019-05-29,369.2,655.5,1221.2
2019-05-30,279.6,434.79999999999995,863.4000000000001
2019-05-31,307.09999999999997,472.29999999999995,943.2
2019-06-01,501.9000000000001,882.6000000000001,1652.2
2019-06-02,184.3,498.8,781.1999999999998
2019-06-03,233.99999999999997,456.6,815.6999999999999
2019-06-04,1429.0,1259.6000000000004,3450.5000000000005
2019-06-05,240.5,511.80000000000007,880.4999999999999
2019-06-06,469.2,699.05,1418.65
2019-06-07,1426.8999999999999,1355.4999999999998,3543.4000000000005
2019-06-08,176.00000000000003,311.1,580.3999999999999
2019-06-09,307.70000000000005,564.8,1036.8000000000002
2019-06-10,1669.3000000000004,1460.2000000000003,4020.399999999999
2019-06-11,1485.3000000000002,1182.0,3459.4
2019-06-12,1682.9999999999998,1414.6000000000004,3995.0
2019-06-13,223.29999999999995,441.3,783.9
2019-06-14,300.4,504.19999999999993,964.8999999999999
2019-06-15,312.9,607.1000000000003,1086.7000000000003
2019-06-16,204.30000000000004,351.19999999999993,664.1999999999998
2019-06-17,286.7,483.50000000000006,922.9000000000001
2019-06-18,1421.3000000000004,1354.0999999999997,3533.1
2019-06-19,841.2500000000001,967.35,2256.9500000000003
2019-06-20,356.5,448.4000000000001,994.7000000000002
2019-06-21,426.30000000000007,579.0,1233.3
2019-06-22,1018.8999999999999,1130.8999999999999,2693.9
2019-06-23,815.2999999999998,1282.9,2532.7000000000003
2019-06-24,599.1,991.2000000000002,1909.4999999999995
2019-06-25,1703.3000000000002,1454.0000000000002,4065.800000000001
2019-06-26,1250.1,1020.1000000000001,2936.9999999999995
2019-06-27,1163.6000000000001,870.5999999999998,2654.7000000000003
2019-06-28,1262.4000000000003,996.2000000000002,2932.0000000000005
2019-06-29,995.3000000000001,1458.8999999999999,2985.0
2019-06-30,132.6,190.49999999999997,393.50000000000006
2019-07-01,467.4,515.5,1232.5
2019-07-02,1457.8999999999996,1189.5999999999997,3424.8999999999996
2019-07-03,1620.7,1401.8999999999999,3886.9
2019-07-04,1335.1999999999998,1429.3,3476.8999999999996
2019-07-05,705.6,1046.1,2128.2999999999997
2019-07-06,1237.9,1090.1000000000001,2988.4
