MeasurementDateGMT,Wandsworth - Putney: Nitric Oxide (ug/m3),Wandsworth - Putney: Nitrogen Dioxide (ug/m3),Wandsworth - Putney: Oxides of Nitrogen (ug/m3),Wandsworth - Putney: PM10 Particulate (ug/m3)
2020-03-08,124.6,493.49999999999994,685.1,322.0
2020-03-09,99.29999999999998,444.2,596.7,334.0
2020-03-10,114.99999999999999,349.80000000000007,525.7,170.0
2020-03-11,146.9,542.6,768.1,245.0
2020-03-12,113.6,374.90000000000003,549.1000000000001,355.0
2020-03-13,98.2,485.9000000000001,636.6,393.0
2020-03-14,181.69999999999996,650.2999999999998,928.7000000000002,278.0
2020-03-15,100.39999999999998,533.7,686.9,246.0
2020-03-16,155.9,643.0,882.3999999999999,353.0
2020-03-17,231.70000000000002,729.5000000000001,1085.1000000000001,388.0
2020-03-18,196.69999999999996,641.4,943.2,396.0
2020-03-19,166.29999999999998,713.6999999999999,968.8999999999999,412.0
2020-03-20,101.19999999999999,439.3,594.5000000000001,351.0
2020-03-21,76.39999999999999,374.5,491.9,406.0
2020-03-22,69.7,408.90000000000003,515.5999999999999,438.0
2020-03-23,229.7,875.7,1227.8,499.0
2020-03-24,232.60000000000002,932.8,1289.1000000000001,478.0
2020-03-25,436.49999999999994,978.5999999999999,1648.5000000000005,637.0
2020-03-26,117.89999999999999,660.2,841.0999999999999,809.0
2020-03-27,69.0,456.29999999999995,562.0,857.0
2020-03-28,32.199999999999996,226.60000000000005,275.80000000000007,526.0
2020-03-29,20.000000000000007,151.09999999999997,182.4,371.0
2020-03-30,53.69999999999999,323.40000000000003,405.1000000000001,281.0
2020-03-31,71.1,437.5999999999999,546.5999999999999,389.0
2020-04-01,225.6,686.0999999999999,1032.4999999999998,395.0
2020-04-02,57.5,362.49999999999994,450.3,302.0
2020-04-03,112.9,585.1000000000001,758.0,360.0
2020-04-04,124.3,577.3000000000001,768.1000000000001,363.0
2020-04-05,57.1,331.5,419.19999999999993,389.0
2020-04-06,47.69999999999999,358.9,432.59999999999997,320.0
2020-04-07,255.40000000000003,807.6999999999999,1199.3,556.0
2020-04-08,164.50000000000003,981.3999999999999,1234.2,1077.0
2020-04-09,241.70000000000005,866.8,1237.3,1225.0
2020-04-10,108.10000000000001,652.9,817.2999999999997,990.0
2020-04-11,214.40000000000006,638.0000000000001,966.6,793.0
2020-04-12,70.8,316.99999999999994,425.5999999999999,599.0
2020-04-13,26.0,128.70000000000002,168.10000000000002,390.0
2020-04-14,71.80000000000003,362.09999999999997,472.99999999999994,348.0
2020-04-15,95.20000000000002,580.1999999999999,726.0,615.0
2020-04-16,185.09999999999997,835.3,1119.1999999999998,1120.0
2020-04-17,58.300000000000004,308.79999999999995,398.40000000000003,520.0
