MeasurementDateGMT,Westminster - Marylebone Road: Carbon Monoxide (mg/m3),Westminster - Marylebone Road: Nitric Oxide (ug/m3),Westminster - Marylebone Road: Nitrogen Dioxide (ug/m3),Westminster - Marylebone Road: Oxides of Nitrogen (ug/m3),Westminster - Marylebone Road: Ozone (ug/m3),Westminster - Marylebone Road: Sulphur Dioxide (ug/m3)
2018-09-06,8.199999999999998,1826.1999999999998,1655.0,4455.199999999999,430.6,105.8
2018-09-07,7.8000000000000025,2104.2999999999997,1792.3000000000002,5018.799999999999,369.0,112.50000000000001
2018-09-08,5.4,2461.2,1933.7,5707.699999999999,284.7,125.70000000000003
2018-09-09,5.5,1757.2999999999995,1831.9999999999995,4527.1,490.2,102.1
2018-09-10,8.399999999999999,3005.3999999999996,2106.1,6714.0,379.4,146.49999999999997
2018-09-11,6.399999999999999,3055.2,1841.0,6525.7,375.5999999999999,136.70000000000002
2018-09-12,8.1,1431.5,1426.7,3621.7999999999993,465.29999999999995,71.2
2018-09-13,6.9,3417.600000000001,2072.1,7312.300000000002,197.29999999999998,171.5
2018-09-14,8.199999999999998,4592.900000000001,2481.7,9523.9,142.5,202.89999999999998
2018-09-15,7.999999999999999,3177.1,2311.2999999999997,7182.600000000001,223.70000000000002,155.1
2018-09-16,8.499999999999998,2028.7,2062.5999999999995,5173.8,447.50000000000006,106.69999999999996
2018-09-17,10.1,2921.9,2580.1000000000004,7060.199999999999,435.3,145.29999999999998
2018-09-18,8.399999999999999,3454.4,2285.1,7581.799999999998,522.7,153.20000000000002
2018-09-19,6.949999999999999,2663.8499999999995,1984.1499999999999,6069.450000000001,445.2,140.3049441786284
2018-09-20,6.899999999999999,3225.4,2162.7999999999997,7108.399999999999,470.09999999999997,156.7980861244019
2018-09-21,14.299999999999999,3960.3,2384.7,8457.5,327.40000000000003,153.03157894736844
2018-09-22,9.799999999999999,3287.6000000000004,2169.7,7211.0,257.30000000000007,149.2650717703349
2018-09-23,3.586206896551724,501.9862068965518,740.5655172413791,1510.0241379310346,703.193103448276,145.49856459330144
2018-09-24,5.913793103448277,1929.8137931034485,1390.3344827586207,4349.675862068965,545.0068965517243,141.73205741626793
2018-09-25,9.900000000000002,5962.200000000001,2885.6,12027.2,94.50000000000001,137.96555023923446
2018-09-26,9.375,5341.849999999999,2996.325,11186.074999999999,121.65555555555555,134.19904306220099
2018-09-27,11.275,4185.65,3423.1250000000005,9840.274999999998,234.2444444444444,130.43253588516748
2018-09-28,7.199999999999999,657.5,1691.5,2699.4,666.7999999999998,126.666028708134
2018-09-29,7.6,3076.9999999999995,3125.5000000000005,7843.4,184.4,122.89952153110049
2018-09-30,6.099999999999996,1474.6,2350.2,4611.199999999998,598.5,119.133014354067
2018-10-01,6.399999999999999,1207.8000000000002,2158.3,4009.7999999999993,613.1000000000001,115.36650717703351
