MeasurementDateGMT,Wandsworth - Putney High Street: Nitric Oxide (ug/m3),Wandsworth - Putney High Street: Nitrogen Dioxide (ug/m3),Wandsworth - Putney High Street: Oxides of Nitrogen (ug/m3),Wandsworth - Putney High Street: PM10 Particulate (ug/m3)
2020-12-02,3905.3999999999996,2526.6,8515.3,631.1000000000001
2020-12-03,1152.1224489795918,1403.4612244897958,3168.914285714285,312.369387755102
2020-12-04,1753.2,1693.2000000000003,4379.400000000001,256.2
2020-12-05,2210.473469387755,1950.636734693878,5338.02857142857,300.28163265306125
2020-12-06,2667.74693877551,2208.0734693877553,6296.657142857142,344.3632653061225
2020-12-07,3125.0204081632655,2465.510204081633,7255.285714285712,388.4448979591837
2020-12-08,3582.29387755102,2722.9469387755107,8213.914285714285,432.5265306122449
2020-12-09,4039.5673469387757,2980.3836734693878,9172.542857142855,476.60816326530613
2020-12-10,4496.840816326531,3237.8204081632653,10131.171428571428,520.6897959183674
2020-12-11,4501.23469387755,3211.267346938775,10111.785714285714,571.6163265306122
2020-12-12,2753.2999999999997,2099.8,6321.6,456.70000000000005
2020-12-13,611.5999999999999,755.8,1693.8999999999999,243.7
2020-12-14,1420.7999999999997,1410.2000000000003,3588.6,358.34999999999997
2020-12-15,1573.1999999999998,1580.4999999999998,3992.7999999999993,430.5
2020-12-16,1033.0,929.5999999999999,2513.2999999999997,309.90000000000003
2020-12-17,1831.9999999999995,1634.5,4443.499999999999,428.5
2020-12-18,854.3999999999999,731.6000000000001,2041.9000000000003,300.6
2020-12-19,1251.6999999999998,1194.6000000000001,3113.4,364.5
2020-12-20,1042.4,1062.5,2661.0,294.6
2020-12-21,1061.8,950.0,2577.9,211.80000000000004
2020-12-22,1927.5999999999997,1467.9000000000003,4423.4,336.9
2020-12-23,1272.0000000000002,1222.5,3172.5,259.0
2020-12-24,941.1999999999999,806.1000000000001,2249.4,185.5
2020-12-25,523.6,547.7,1351.0,337.6
2020-12-26,606.4,615.4,1545.6999999999998,220.90000000000003
2020-12-27,956.8,998.0,2464.8,298.4
2020-12-28,1047.0,1128.2000000000003,2734.2000000000003,296.49999999999994
2020-12-29,1926.6000000000004,1540.6,4494.599999999999,456.20000000000005
2020-12-30,3312.5,2105.7,7184.500000000002,566.6
2020-12-31,2351.6,1793.1999999999998,5399.299999999999,587.8000000000001
2021-01-01,1699.6000000000001,1222.3,3828.6,598.9999999999999
2021-01-02,1515.6999999999998,1271.7000000000003,3595.4,321.1
2021-01-03,789.0,807.6999999999999,2017.1999999999998,245.7
2021-01-04,660.6,719.4,1732.5,221.6
2021-01-05,1087.6000000000001,960.4000000000001,2628.2000000000003,244.0
2021-01-06,1433.2999999999997,1114.6000000000001,3311.9,302.4
