MeasurementDateGMT,Enfield - Bowes Primary School: Nitric Oxide (ug/m3),Enfield - Bowes Primary School: Nitrogen Dioxide (ug/m3),Enfield - Bowes Primary School: Oxides of Nitrogen (ug/m3),Enfield - Bowes Primary School: PM10 Particulate (ug/m3)
2020-02-22,149.1,364.29999999999995,592.7,389.5
2020-02-23,316.3,681.6,1166.5,179.8
2020-02-24,157.2,518.7,759.9,123.9
2020-02-25,249.29999999999998,669.8999999999999,1051.9,202.3
2020-02-26,432.0,885.7,1547.7000000000003,297.85
2020-02-27,635.6999999999999,1133.4,2108.3,292.79999999999995
2020-02-28,215.60000000000008,883.1999999999999,1213.8,240.19999999999996
2020-02-29,139.5,416.19999999999993,629.8000000000001,347.8
2020-03-01,99.39999999999999,413.59999999999997,566.1,243.50000000000003
2020-03-02,671.4999999999998,1088.5,2118.4,295.34999999999997
2020-03-03,414.8000000000001,1044.4,1680.7,353.50000000000006
2020-03-04,716.5000000000001,1258.3999999999996,2357.1000000000004,397.19999999999993
2020-03-05,264.2,571.8000000000001,976.8,309.79999999999995
2020-03-06,1913.0000000000002,1586.0000000000002,4518.7,679.2
2020-03-07,522.7000000000002,842.9,1644.0000000000002,565.5000000000001
2020-03-08,93.99999999999999,496.2,640.8,366.2474048442906
2020-03-09,263.49999999999994,668.4000000000002,1072.6000000000001,412.06505190311424
2020-03-10,209.39999999999998,449.8,770.9000000000001,404.2920415224912
2020-03-11,121.4,438.09999999999997,624.2,396.5190311418686
2020-03-12,208.59999999999997,466.9999999999999,786.8000000000001,388.7460207612456
2020-03-13,381.0999999999999,781.6999999999999,1366.1,380.9730103806229
2020-03-14,44.2,348.70000000000005,416.3,373.19999999999993
2020-03-15,150.3,516.7,747.0999999999999,365.42698961937725
2020-03-16,559.3000000000001,1047.0,1904.4000000000003,357.65397923875423
2020-03-17,110.9,492.59999999999997,663.2,349.8809688581316
2020-03-18,113.69999999999999,481.1,655.1999999999999,342.10795847750853
2020-03-19,348.20000000000005,659.9,1194.1999999999998,334.3349480968859
2020-03-20,187.3,381.6,668.7,316.8525951557093
2020-03-21,152.39999999999998,388.0999999999999,621.0,373.90000000000003
2020-03-22,104.60000000000001,366.40000000000003,526.5000000000001,396.2
2020-03-23,871.8999999999999,1283.0,2619.8,582.1
2020-03-24,824.0999999999999,1279.6,2543.500000000001,608.9
2020-03-25,1112.5999999999997,1166.9,2872.8,664.0999999999998
2020-03-26,262.2,697.0000000000001,1099.1000000000004,779.4
2020-03-27,176.79999999999998,468.2,739.3000000000001,801.9499999999999
2020-03-28,58.399999999999984,199.1,288.5,451.6000000000001
2020-03-29,46.2,147.19999999999996,219.0,260.4
2020-03-30,237.99999999999991,431.49999999999994,796.5999999999999,243.20000000000002
2020-03-31,228.49999999999994,620.3999999999999,970.8999999999999,326.1
2020-04-01,751.0999999999999,1182.3999999999999,2333.8000000000006,398.7
2020-04-02,262.00000000000006,653.1000000000001,1054.9,236.09999999999994
2020-04-03,647.9000000000001,984.3000000000001,1977.6999999999996,414.5
2020-04-04,931.5000000000002,860.1000000000001,2288.3999999999996,474.8999999999999
2020-04-05,145.79999999999998,571.8999999999999,795.3000000000002,404.3
2020-04-06,138.3,561.5999999999999,774.0,294.7
2020-04-07,718.1999999999997,969.1,2070.5,553.4999999999999
2020-04-08,384.50000000000006,1038.3,1628.15,1127.3
2020-04-09,452.90000000000003,947.0000000000001,1641.7,1087.8999999999999
2020-04-10,193.29999999999998,755.6,1052.1000000000001,859.5000000000001
2020-04-11,591.0,1152.8999999999999,2059.2,840.1999999999999
2020-04-12,181.4,713.8999999999999,991.5000000000001,589.4000000000002
2020-04-13,55.800000000000004,155.90000000000003,241.59999999999997,327.30000000000007
2020-04-14,245.29999999999998,672.4000000000001,1048.2,324.70000000000005
2020-04-15,641.5000000000002,1105.6000000000004,2089.1,717.5999999999999
2020-04-16,545.9999999999998,1138.9,1976.5999999999997,1092.85
2020-04-17,166.40000000000003,444.2,699.4,375.90000000000003
2020-04-18,206.59999999999997,579.8000000000001,896.5999999999999,533.9000000000001
2020-04-19,115.30000000000001,343.1000000000001,519.7,420.10000000000014
2020-04-20,146.10000000000002,365.09999999999997,589.1999999999999,447.8999999999999
2020-04-21,124.99999999999999,368.2,560.1,536.2
2020-04-22,209.0,561.5,881.7,601.85
2020-04-23,320.6,800.6999999999999,1292.5,685.9
2020-04-24,359.7,813.1,1364.1000000000001,642.4
2020-04-25,128.2,521.8000000000001,718.3000000000001,386.6000000000001
2020-04-26,293.1000000000001,713.1999999999997,1162.6999999999998,458.6
2020-04-27,324.3,860.6,1358.1999999999998,565.9
2020-04-28,185.20000000000002,497.49999999999994,781.1999999999999,174.20000000000002
2020-04-29,75.69999999999999,361.2999999999999,477.7000000000001,208.90000000000003
2020-04-30,58.7,315.70000000000005,406.1,178.79999999999998
2020-05-01,233.0,590.2,947.8999999999999,195.79999999999998
2020-05-02,485.7,864.9,1609.3000000000002,277.6
2020-05-03,335.69999999999993,810.7,1324.6999999999998,351.69999999999993
2020-05-04,259.75,638.1000000000001,1036.7,357.9000000000001
2020-05-05,167.39999999999995,452.0,708.4999999999999,258.3
2020-05-06,238.20000000000002,671.3,1036.5,424.7
2020-05-07,418.69999999999993,790.8000000000001,1432.8000000000002,515.7
2020-05-08,287.79999999999995,1189.7,1630.3999999999999,563.5
2020-05-09,346.6,1015.8000000000002,1547.4000000000003,777.0
2020-05-10,53.7,316.30000000000007,398.59999999999997,425.7
2020-05-11,126.3,281.5,475.09999999999997,216.6
2020-05-12,574.7,922.4999999999999,1803.3999999999996,269.6
2020-05-13,209.2,473.1,794.0000000000001,215.5
2020-05-14,249.8,525.5,908.7,180.79999999999998
2020-05-15,715.6000000000001,1074.0000000000002,2171.0000000000005,383.8999999999999
2020-05-16,525.5,1010.4,1816.2000000000003,330.3
2020-05-17,318.0000000000001,656.9000000000002,1144.4999999999998,338.2999999999998
2020-05-18,171.75000000000003,541.4999999999999,804.6999999999999,215.49024390243906
2020-05-19,304.9,756.3000000000001,1223.6,157.609756097561
2020-05-20,341.80000000000007,720.5,1244.8,108.4390243902439
2020-05-21,533.9499999999999,924.7499999999999,1743.0000000000002,118.36097560975612
2020-05-22,106.9,321.6,486.0999999999999,364.99999999999994
2020-05-23,130.9,240.20000000000002,440.59999999999997,326.55
2020-05-24,369.3,623.3,1190.0,374.50000000000006
2020-05-25,288.20000000000005,786.0,1227.3999999999996,361.1
2020-05-26,580.5999999999998,1037.3,1927.0,412.90000000000003
2020-05-27,400.7999999999999,895.2,1509.8999999999999,374.80000000000007
2020-05-28,252.69999999999996,537.6,924.6,273.3
2020-05-29,320.1,692.1000000000001,1181.7999999999997,290.2
2020-05-30,188.10000000000002,537.2,825.3,371.50000000000006
2020-05-31,102.0,371.8,528.3,287.40000000000003
2020-06-01,262.59999999999997,645.1999999999998,1048.1,322.40000000000003
2020-06-02,541.1999999999999,1084.0,1913.8,407.6
2020-06-03,458.2,834.0,1536.3000000000002,386.69999999999993
2020-06-04,363.0,616.3,1172.5,204.89999999999998
2020-06-05,386.0999999999999,603.5000000000001,1196.2,189.00000000000006
2020-06-06,276.79999999999995,502.3,926.4000000000001,184.90000000000003
2020-06-07,258.20000000000005,498.99999999999994,895.0,179.40000000000003
2020-06-08,317.8,533.8000000000001,1020.9000000000002,248.70000000000002
2020-06-09,542.3000000000001,872.5999999999999,1703.8999999999999,336.4
2020-06-10,87.9,469.8999999999999,605.0,310.30000000000007
2020-06-11,214.9,485.69999999999993,815.3000000000001,334.6
2020-06-12,265.6,713.7499999999998,1121.1499999999999,556.2
2020-06-13,284.80000000000007,712.4999999999999,1149.1000000000001,377.2
2020-06-14,59.79999999999999,364.19999999999993,456.19999999999993,342.9000000000001
2020-06-15,221.9,689.5,1029.9,304.15
2020-06-16,115.70000000000002,507.2,684.6,259.75000000000006
2020-06-17,798.9000000000001,1066.2,2291.1,413.6999999999999
2020-06-18,216.09999999999997,482.79999999999995,814.6,175.3
2020-06-19,48.1,250.1,323.40000000000003,215.6
2020-06-20,27.1,230.20000000000005,271.59999999999997,206.90000000000003
2020-06-21,125.20000000000002,300.6000000000001,492.7,229.1
2020-06-22,67.1,294.4,397.5,332.99999999999994
2020-06-23,149.1,532.2,760.8999999999999,390.903076923077
2020-06-24,334.49999999999994,1137.6999999999998,1650.7000000000003,397.86461538461543
2020-06-25,279.00000000000006,1152.8999999999999,1580.3999999999994,454.2323076923077
2020-06-26,188.29999999999995,682.1999999999997,970.7,498.1
2020-06-27,31.799999999999997,143.6,191.9,213.29999999999998
2020-06-28,91.7,216.5,356.7,175.49999999999994
2020-06-29,167.79999999999998,328.49999999999994,585.9000000000001,273.1
2020-06-30,110.80000000000001,328.0,497.29999999999995,161.70000000000005
2020-07-01,124.30000000000001,308.2999999999999,498.7999999999999,164.0
2020-07-02,336.30000000000007,555.3000000000001,1071.1999999999998,197.39999999999995
2020-07-03,130.0,301.9999999999999,501.45,233.89999999999998
2020-07-04,63.6,169.0,266.29999999999995,134.8
2020-07-05,152.39999999999998,227.3,461.09999999999997,244.0
2020-07-06,438.59999999999997,661.1,1333.5,290.1
2020-07-07,290.2,669.3000000000002,1114.2,286.00000000000006
2020-07-08,254.1,406.29999999999995,795.5000000000001,149.30000000000004
2020-07-09,197.10000000000005,337.09999999999997,638.9000000000001,145.9
2020-07-10,666.6999999999999,808.1999999999999,1830.2,251.39999999999998
2020-07-11,622.3999999999999,827.1999999999999,1781.8999999999999,301.2
2020-07-12,472.09999999999997,759.4000000000001,1483.1000000000001,357.3
2020-07-13,349.1,689.5999999999999,1224.9,259.1
2020-07-14,685.6,793.1999999999999,1844.3,311.99999999999994
2020-07-15,530.5,679.1000000000001,1493.2000000000003,243.60000000000005
2020-07-16,651.8000000000001,719.3999999999999,1718.6999999999998,261.70000000000005
2020-07-17,604.0,750.6999999999999,1677.3000000000002,343.7
2020-07-18,342.3,571.5,1096.5,281.45
2020-07-19,285.1,478.70000000000005,915.9999999999998,198.79999999999998
2020-07-20,511.30000000000007,715.2,1499.2,295.90000000000003
2020-07-21,676.1,950.4000000000001,1986.8,346.1000000000001
2020-07-22,88.95000000000002,472.34999999999997,608.6999999999999,348.1
2020-07-23,114.19999999999999,471.2,646.4,307.75
2020-07-24,218.70000000000002,383.5999999999999,719.1999999999999,208.10000000000005
2020-07-25,52.49999999999999,246.5,327.00000000000006,146.99999999999997
2020-07-26,101.10000000000001,267.4,422.70000000000005,227.25
2020-07-27,83.49999999999999,253.10000000000005,381.40000000000003,195.59999999999997
2020-07-28,440.59999999999985,625.1999999999999,1300.3,231.10000000000002
2020-07-29,485.0,904.2999999999997,1648.3999999999999,289.40000000000003
2020-07-30,251.49999999999997,828.3999999999999,1214.3000000000002,317.4
2020-07-31,361.19999999999993,1016.6999999999999,1570.5000000000002,523.3904761904761
2020-08-01,280.7,489.40000000000003,920.8000000000001,247.90952380952385
2020-08-02,272.0,509.6,926.9000000000001,206.1
2020-08-03,525.1,795.0000000000001,1599.7000000000003,282.90000000000003
2020-08-04,611.6999999999999,557.7,1495.2,296.4
2020-08-05,26.3,173.99999999999997,215.29999999999998,184.60000000000002
2020-08-06,113.79999999999998,498.20000000000005,672.8999999999999,150.03141361256544
2020-08-07,1060.7,1486.6000000000004,3113.2000000000003,157.25026178010467
2020-08-08,338.79999999999995,872.4,1392.1000000000001,156.3455497382199
2020-08-09,101.89999999999999,550.0999999999999,706.3,155.44083769633505
2020-08-10,207.7,926.5999999999999,1245.3,154.53612565445027
2020-08-11,386.84999999999997,1533.6499999999999,2126.5,153.63141361256544
2020-08-12,277.90000000000003,1413.1,1838.8,152.7267015706806
2020-08-13,229.0,715.2,1066.1,151.8219895287958
2020-08-14,467.2,787.5000000000001,1503.1999999999998,440.3157068062827
2020-08-15,315.20000000000005,605.4999999999999,1089.3,517.5
2020-08-16,299.29999999999995,785.1000000000001,1243.6000000000001,737.9
2020-08-17,574.9,798.6,1680.0,342.00000000000006
2020-08-18,60.099999999999994,284.4,376.4,178.70000000000002
2020-08-19,252.49999999999994,583.9,971.3999999999999,224.49999999999997
2020-08-20,48.7,347.4,421.6,389.1
2020-08-21,36.8,181.79999999999995,238.79999999999995,347.7
2020-08-22,89.39999999999999,284.20000000000005,421.0,254.3
2020-08-23,180.70000000000002,378.7,655.7000000000002,228.89999999999998
2020-08-24,213.40000000000003,478.9000000000001,805.9,215.64999999999995
2020-08-25,46.10000000000001,228.20000000000002,298.70000000000005,182.49999999999997
2020-08-26,344.0,640.5999999999999,1168.1999999999998,253.00000000000003
2020-08-27,266.3,666.3,1074.9999999999998,274.59999999999997
2020-08-28,365.1,568.9999999999999,1128.9999999999998,190.29999999999998
2020-08-29,253.20000000000007,412.8,801.2000000000002,213.80000000000004
2020-08-30,257.7,465.70000000000005,861.3000000000001,256.3
2020-08-31,949.9,1052.8,2508.7999999999997,314.79999999999995
2020-09-01,1278.5999999999997,1397.3000000000002,3357.6000000000004,436.7
2020-09-02,618.9000000000002,810.9999999999999,1759.6999999999998,378.19999999999993
2020-09-03,122.9,352.40000000000003,540.5,213.10000000000005
2020-09-04,277.7,621.0,1046.9,296.0
2020-09-05,487.09999999999997,796.2000000000002,1543.0000000000002,307.20000000000005
2020-09-06,837.0,1030.4,2313.4000000000005,370.3
2020-09-07,703.3,732.6999999999999,1810.9,284.8
2020-09-08,249.39999999999995,448.0,830.4,209.35
2020-09-09,512.8,737.2,1523.9999999999995,270.0
2020-09-10,1144.4,1300.9999999999998,3055.6,424.4
2020-09-11,701.6999999999999,881.4000000000002,1957.6000000000004,339.1000000000001
2020-09-12,204.4,537.9999999999999,851.3000000000001,253.19999999999996
2020-09-13,117.70000000000002,410.20000000000005,590.3,264.4
2020-09-14,1332.1,1279.9,3321.7999999999997,534.8000000000002
2020-09-15,593.9000000000001,1712.2999999999997,2622.5,902.55
2020-09-16,262.9,722.4999999999999,1125.7999999999997,600.8000000000001
2020-09-17,242.39999999999998,468.99999999999994,840.3,322.40000000000003
2020-09-18,314.6,546.0,1028.3,316.80000000000007
2020-09-19,153.6,429.2,664.6,358.20000000000005
2020-09-20,108.80000000000001,400.4,567.4999999999999,385.49999999999994
2020-09-21,1149.6999999999998,1324.3999999999999,3087.3999999999996,592.7
2020-09-22,970.1999999999999,892.8,2380.3999999999996,545.9000000000001
2020-09-23,96.70000000000002,437.70000000000005,585.9,213.3
2020-09-24,151.5,555.4000000000001,788.4000000000001,153.7
2020-09-25,442.80000000000007,609.5999999999998,1288.8999999999999,215.3
