MeasurementDateGMT,Lewisham - Honor Oak Park: Nitric Oxide (ug/m3),Lewisham - Honor Oak Park: Nitrogen Dioxide (ug/m3),Lewisham - Honor Oak Park: Ozone (ug/m3),Lewisham - Honor Oak Park: PM10 Particulate (ug/m3),Lewisham - Honor Oak Park: PM2.5 Particulate (ug/m3)
2018-12-13,1281.6000000000001,926.3999999999999,259.59999999999997,486.29999999999995,372.0999999999999
2018-12-14,1281.6000000000001,983.6999999999998,198.59999999999997,626.3999999999999,484.80000000000007
2018-12-15,1281.6000000000001,403.9,792.2,460.7,376.4
2018-12-16,1281.6000000000001,446.50000000000006,1302.3,256.7,135.5
2018-12-17,1281.6000000000001,664.0999999999999,1023.1999999999999,327.70000000000005,169.79999999999998
2018-12-18,1281.6000000000001,243.40000000000003,1429.4000000000003,256.8,142.00000000000003
2018-12-19,1281.6000000000001,471.49999999999994,1371.5,164.2,82.39999999999999
2018-12-20,1281.6000000000001,402.2000000000001,1409.7,226.4,117.69999999999999
2018-12-21,1281.6000000000001,274.00000000000006,1503.5,318.4,177.10000000000002
2018-12-22,1281.6000000000001,423.1,1316.6,296.90000000000003,168.4
2018-12-23,1281.6000000000001,388.8,1135.1000000000001,141.5,94.4
2018-12-24,1281.6000000000001,996.0,395.50000000000006,451.99999999999994,372.2
2018-12-25,1281.6000000000001,845.8,289.19999999999993,484.40000000000003,407.00000000000006
2018-12-26,1281.6000000000001,641.8000000000001,466.99999999999994,360.9,305.9
2018-12-27,1281.6000000000001,1109.9999999999998,52.4,820.1,710.8000000000001
2018-12-28,1281.6000000000001,1038.4,128.4,601.0999999999999,484.8
2018-12-29,1281.6000000000001,598.8000000000001,833.6,324.59999999999997,217.5
2018-12-30,1281.6000000000001,540.6999999999998,782.8,247.70000000000002,213.59999999999997
2018-12-31,1281.6000000000001,366.0,1265.1000000000001,194.40000000000003,144.70000000000002
2019-01-01,1281.6000000000001,365.59999999999997,1304.9,263.0,159.8
2019-01-02,1281.6000000000001,561.1999999999999,1254.5000000000005,359.59999999999997,191.2
2019-01-03,1281.6000000000001,779.9999999999999,1001.7,313.30000000000007,218.79999999999998
2019-01-04,1281.6000000000001,1162.6999999999998,351.19999999999993,694.4000000000001,562.9000000000001
2019-01-05,1281.6000000000001,729.6,828.8,581.9,490.8999999999999
2019-01-06,1281.6000000000001,938.5000000000001,500.1000000000001,563.7,416.70000000000005
2019-01-07,1281.6000000000001,568.4000000000001,972.1,392.89999999999986,236.4
2019-01-08,1281.6000000000001,598.4,1171.8999999999996,370.30000000000007,195.9
2019-01-09,1281.6000000000001,675.2,1008.3999999999999,329.70000000000005,186.90000000000003
2019-01-10,1281.6000000000001,1279.1999999999998,206.99999999999997,775.5999999999999,572.4000000000001
2019-01-11,1281.6000000000001,1067.4,402.9000000000001,454.2,349.3999999999999
2019-01-12,1281.6000000000001,484.3,1065.5000000000002,163.1,118.20000000000002
2019-01-13,1281.6000000000001,272.2,1433.1999999999998,162.50000000000003,105.00000000000003
2019-01-14,1281.6000000000001,665.2,1118.4,323.0,176.20000000000002
2019-01-15,1281.6000000000001,586.3,1079.6999999999998,190.3,116.00000000000003
2019-01-16,1281.6000000000001,491.09999999999997,1246.8999999999999,146.70000000000002,101.29999999999998
2019-01-17,1281.6000000000001,824.0000000000001,870.0999999999999,250.7,149.79999999999998
2019-01-18,1281.6000000000001,871.8,729.4000000000002,361.7,226.39999999999995
2019-01-19,1281.6000000000001,443.1175438596492,967.4999999999998,467.90000000000003,324.29999999999995
2019-01-20,1281.6000000000001,736.5789473684212,343.2,722.6,615.6000000000001
2019-01-21,1281.6000000000001,975.5684210526316,374.0,885.3000000000001,759.0999999999999
2019-01-22,1281.6000000000001,1214.5578947368422,924.8,274.8,191.4
2019-01-23,1281.6000000000001,1453.5473684210529,784.6000000000001,385.6,316.29999999999995
2019-01-24,1707.2999999999995,1666.5798245614037,94.49999999999999,688.6999999999999,569.5000000000001
2019-01-25,692.4,1106.4,299.40000000000003,425.49999999999983,353.50000000000006
2019-01-26,82.19999999999999,267.0,1516.9999999999998,151.5,101.10000000000002
2019-01-27,80.19999999999999,227.79999999999998,1538.0,236.99999999999997,128.1
2019-01-28,280.7,816.1,959.8,279.8,144.5
2019-01-29,194.79999999999998,774.4000000000001,936.2999999999998,229.4,159.90000000000003
2019-01-30,756.8,1198.5,587.1999999999999,315.09999999999997,212.2
2019-01-31,1552.8999999999996,995.0,620.3000000000001,459.3999999999999,371.3999999999999
2019-02-01,110.00000000000001,700.6999999999998,919.1999999999998,329.1,278.0
2019-02-02,101.30000000000001,488.1,1099.4,348.00000000000006,276.1999999999999
2019-02-03,170.7,673.4000000000001,909.9,280.90000000000003,192.60000000000002
2019-02-04,197.8,626.0,1057.9999999999998,190.29999999999998,138.0
2019-02-05,123.50000000000003,545.4,824.0000000000001,258.50000000000006,209.7
2019-02-06,160.29999999999998,631.4000000000001,974.9999999999999,187.5,117.49999999999999
2019-02-07,100.0,318.40000000000003,1569.2,196.49999999999994,103.39999999999999
2019-02-08,76.6,202.49999999999997,1682.1000000000006,225.9,129.89999999999998
2019-02-09,83.6,184.59999999999997,1747.3999999999999,269.59999999999997,146.9
2019-02-10,90.00000000000003,372.9,1410.8,99.6,65.19999999999999
2019-02-11,377.09999999999997,914.5999999999999,849.9,238.20000000000002,148.99999999999997
2019-02-12,209.60000000000002,754.4000000000001,904.7,285.0,184.5
2019-02-13,125.7,581.2,1034.3000000000002,404.0,298.20000000000005
2019-02-14,1096.2000000000003,1145.7999999999997,327.6,591.9999999999999,478.4
2019-02-15,516.3000000000001,1018.4000000000001,578.1,760.0,620.4999999999999
2019-02-16,119.3,643.8,938.1,753.2,570.0999999999999
2019-02-17,104.50000000000001,476.3000000000001,1198.9,658.8,444.00000000000006
2019-02-18,97.10000000000001,503.90000000000003,1339.5999999999997,341.80000000000007,204.79999999999998
2019-02-19,124.5,447.0,1481.6,316.70000000000005,167.50000000000003
2019-02-20,104.99999999999999,424.2,1377.7,325.7,215.9
2019-02-21,111.89999999999999,542.7,1279.0000000000002,475.7999999999999,337.6
2019-02-22,622.7,929.8000000000001,583.9999999999999,523.7,398.5
2019-02-23,534.5,876.1,468.8,761.4,650.6999999999999
2019-02-24,1461.6000000000001,1325.2999999999997,213.6,968.0000000000001,806.8000000000001
2019-02-25,2475.1999999999994,1705.5,199.99999999999997,1194.1,906.8
2019-02-26,2897.5,1749.8,275.40000000000003,1272.5,885.4999999999998
2019-02-27,2000.2000000000003,1457.7000000000003,494.2,1386.1,1061.3
2019-02-28,172.6,779.2,1092.2,619.6,489.69999999999993
2019-03-01,119.40000000000002,698.6000000000001,1022.6000000000003,618.2,472.4
2019-03-02,97.79999999999998,290.6,1529.2999999999997,267.0,176.0
2019-03-03,75.5,164.60000000000005,1843.8999999999999,191.3,112.4
2019-03-04,121.4,362.20000000000005,1600.1999999999998,148.79999999999998,74.50000000000001
2019-03-05,103.70000000000002,314.0,1754.1999999999998,184.1,94.2
2019-03-06,87.0,241.9,1669.0,244.0,148.9
2019-03-07,103.00000000000001,270.79999999999995,1662.9,155.50000000000003,81.69999999999999
2019-03-08,133.3,418.29999999999995,1461.0000000000005,184.50000000000003,105.10000000000002
2019-03-09,85.3,304.1,1821.7,384.6,217.00000000000003
2019-03-10,80.50000000000001,259.99999999999994,1779.6999999999996,143.60000000000002,88.49999999999997
2019-03-11,99.8,332.00000000000006,1776.0999999999997,233.79999999999998,117.39999999999999
2019-03-12,86.69999999999999,330.9,1800.7,183.4,100.7
2019-03-13,97.6,302.30000000000007,1768.1000000000004,307.8,165.5
2019-03-14,88.2,315.7,1859.0000000000002,199.1,115.5
2019-03-15,90.19999999999999,217.5,1608.9,79.7,47.59999999999999
2019-03-16,76.90000000000003,164.89999999999998,1940.5999999999997,195.29999999999998,110.49999999999997
2019-03-17,92.4,321.3,1717.0000000000005,107.1,60.70000000000001
2019-03-18,184.2,776.6,1169.0999999999997,239.70000000000002,139.8
2019-03-19,194.69999999999996,720.6,970.8000000000001,271.2,203.89999999999995
2019-03-20,109.49999999999999,456.8999999999999,1363.7,252.99999999999997,177.00000000000003
2019-03-21,155.4,611.3,947.4000000000001,307.09999999999997,206.29999999999998
2019-03-22,105.7,430.0,1250.3999999999999,350.00000000000006,288.19999999999993
2019-03-23,100.30000000000001,511.80000000000007,1264.1,421.1,294.8
2019-03-24,238.4,714.3,1221.8999999999999,402.0,263.70000000000005
2019-03-25,98.0,450.9,1697.0999999999997,336.50000000000006,176.4
2019-03-26,409.20000000000005,1157.0,825.1999999999999,524.6999999999999,331.0
2019-03-27,506.4,1126.9,997.9000000000001,492.9000000000001,317.20000000000005
2019-03-28,494.70000000000016,1079.3999999999999,994.75,751.4000000000001,548.6
2019-03-29,374.80000000000007,915.8000000000001,919.5999999999999,874.5000000000001,707.4000000000001
2019-03-30,1043.0,925.8000000000001,1024.2,1200.0,970.6999999999999
2019-03-31,78.70000000000002,332.5,1745.6,695.9999999999999,521.0999999999999
2019-04-01,144.29999999999998,555.0,1482.5,501.6,248.49999999999997
2019-04-02,191.70000000000002,770.0999999999999,1026.6,493.6,381.5
2019-04-03,321.20000000000005,907.9,1020.7,337.1,262.5
2019-04-04,96.90000000000002,301.7,1741.1000000000004,194.10000000000005,122.29999999999998
2019-04-05,89.9,400.90000000000003,1722.9999999999998,361.59999999999997,251.6
2019-04-06,93.29999999999998,493.9,1465.6000000000001,439.3,343.1000000000001
2019-04-07,169.4,467.8,983.9000000000002,1089.8,974.7
2019-04-08,530.2,1105.3000000000002,850.7,1148.6,985.7999999999998
2019-04-09,190.6,653.6999999999998,1268.2000000000003,972.4000000000002,778.4999999999999
2019-04-10,100.19999999999999,293.09999999999997,1839.4999999999998,435.4,230.20000000000002
2019-04-11,110.80000000000001,412.49999999999994,1863.4999999999998,386.0,231.30000000000004
2019-04-12,109.70000000000002,500.2999999999999,1722.2,424.70000000000005,295.70000000000005
2019-04-13,107.8,476.30000000000007,1738.3999999999999,380.2,282.7
2019-04-14,90.3,390.29999999999995,1762.6000000000001,555.1,456.09999999999997
