MeasurementDateGMT,Hackney - Old Street: Nitric Oxide (ug/m3),Hackney - Old Street: Nitrogen Dioxide (ug/m3),Hackney - Old Street: Oxides of Nitrogen (ug/m3),Hackney - Old Street: Ozone (ug/m3),Hackney - Old Street: PM10 Particulate (ug/m3)
2019-04-19,298.8,1509.9,1968.1999999999998,1250.7999999999997,926.9000000000001
2019-04-20,206.9,1272.6000000000001,1589.4,1629.3500000000004,915.0999999999999
2019-04-21,185.7,1286.0000000000002,1570.5,1855.3,972.8
2019-04-22,249.95,1706.5500000000002,2089.85,1605.6,1356.3000000000002
2019-04-23,570.9000000000001,1640.55,2515.3500000000004,977.6,1027.6502636203866
2019-04-24,548.3000000000001,1379.6,2220.5,1053.5,955.516344463972
2019-04-25,313.6,896.7999999999998,1377.5999999999995,1396.9,941.1416520210897
2019-04-26,426.99999999999994,991.8000000000001,1646.4000000000003,1268.5,926.7669595782075
2019-04-27,546.4,1075.4,1913.0,1139.3999999999999,912.3922671353251
2019-04-28,451.99999999999994,850.5,1543.5000000000002,1079.2,898.0175746924428
2019-04-29,455.3999999999999,1069.0,1767.0000000000005,1014.0000000000001,883.6428822495607
2019-04-30,551.9,1389.6999999999998,2235.8,938.7,869.2681898066783
2019-05-01,893.9,1690.1,3060.5999999999995,864.4000000000001,854.8934973637963
2019-05-02,1118.4,1422.6,3138.1,765.0,840.5188049209139
2019-05-03,629.2,1120.7,2085.2999999999997,808.6,826.1441124780316
2019-05-04,146.89999999999998,426.4999999999999,651.6,1428.9999999999998,811.7694200351494
2019-05-05,414.1,855.1000000000001,1489.8999999999999,1347.7999999999995,797.394727592267
2019-05-06,812.5999999999999,1362.3,2608.2,891.8,783.020035149385
2019-05-07,606.9999999999998,1270.8,2201.8000000000006,1247.2,768.6453427065027
2019-05-08,560.1,1222.3999999999999,2081.4,1094.4999999999998,754.2706502636204
2019-05-09,712.1999999999999,1290.8,2382.9,843.3999999999997,739.8959578207382
2019-05-10,791.3,1339.6999999999998,2553.3999999999996,1020.6,725.5212653778559
2019-05-11,228.69999999999996,859.0000000000002,1210.3000000000004,1236.1,711.1465729349736
2019-05-12,227.9,856.2,1206.0000000000002,1320.9,696.7718804920914
2019-05-13,468.4,1024.7,1742.7999999999997,1236.0999999999997,682.397188049209
2019-05-14,447.6,924.5999999999999,1610.5,1399.0,668.0224956063267
2019-05-15,508.3500000000001,1155.3,1934.9,1412.6,653.6478031634446
2019-05-16,439.09999999999997,952.4,1625.6,1522.6000000000001,639.2731107205624
2019-05-17,356.4,793.1500000000001,1339.25,1063.5,564.5710017574693
2019-05-18,386.5999999999999,1124.6000000000001,1717.5999999999997,763.2000000000003,609.4
2019-05-19,274.40000000000003,912.7,1333.3000000000002,832.9,643.6
2019-05-20,412.3,960.4000000000001,1592.3999999999996,1019.9000000000001,532.3000000000001
2019-05-21,467.3,902.8,1619.5999999999995,1222.3,476.3
2019-05-22,488.20000000000005,1155.4,1904.0000000000002,1149.45,498.40000000000003
2019-05-23,666.0000000000001,1477.1000000000004,2498.1,964.2999999999998,577.6
2019-05-24,806.4000000000001,1157.1000000000004,2393.4000000000005,806.1,517.6
2019-05-25,949.8000000000001,1205.1000000000001,2661.8000000000006,560.85,404.99999999999994
2019-05-26,669.9999999999999,890.5,1917.8000000000002,558.4000000000001,435.29999999999995
2019-05-27,695.6999999999998,1007.3000000000001,2074.0999999999995,635.0999999999999,453.6000000000001
2019-05-28,655.3,871.1999999999999,1876.3999999999999,901.3000000000001,344.7
2019-05-29,553.4,947.6999999999998,1796.0000000000002,695.0999999999999,433.39999999999986
2019-05-30,943.1999999999999,1063.5,2508.199999999999,392.0,490.90000000000003
2019-05-31,941.6999999999999,1024.4,2468.5000000000005,406.4500000000001,414.7000000000001
2019-06-01,483.3999999999999,934.0999999999999,1676.1,645.4842105263159,474.6
2019-06-02,262.65000000000003,763.7,1166.35,1032.0157894736842,460.19999999999993
2019-06-03,700.4,1080.4,2154.8,898.95,539.0
2019-06-04,433.59999999999997,1017.0999999999999,1681.8000000000002,829.2999999999998,605.1999999999999
2019-06-05,686.3000000000001,1092.1000000000001,2143.9,864.5,416.2000000000001
2019-06-06,596.9,1029.4999999999998,1944.7999999999997,1027.5,466.3
2019-06-07,365.3,946.9,1507.1000000000004,918.8,495.60000000000014
2019-06-08,621.8,975.4,1928.8999999999996,849.1000000000001,355.59999999999997
2019-06-09,482.99999999999994,892.3000000000001,1632.5,999.7,358.5
2019-06-10,198.99999999999994,670.0000000000001,975.4999999999999,1009.6999999999999,259.5
2019-06-11,335.70000000000005,670.5999999999999,1185.3999999999996,998.1,319.80000000000007
2019-06-12,398.50000000000006,875.4000000000001,1486.1999999999996,951.5,274.3
2019-06-13,651.2,1112.4,2110.9000000000005,780.9000000000001,324.8
2019-06-14,486.2,911.7999999999998,1657.2,1037.6000000000001,402.5
2019-06-15,391.69999999999993,897.4000000000002,1497.8000000000002,1147.5,312.50000000000006
2019-06-16,338.3999999999999,703.6000000000001,1222.4,1046.2,278.3
2019-06-17,505.2000000000001,992.7,1767.3999999999999,1060.8,389.4999999999999
2019-06-18,717.1000000000001,1285.2999999999997,2385.100000000001,584.6999999999999,495.7
2019-06-19,803.9,1244.1000000000001,2476.8999999999996,590.4000000000001,538.7
2019-06-20,1068.4,1297.7999999999997,2936.1000000000004,555.9,364.4
2019-06-21,816.2000000000002,1177.4,2428.7999999999997,817.6999999999999,383.40000000000003
2019-06-22,256.29999999999995,790.4999999999999,1183.4999999999998,1141.1499999999999,487.99999999999994
2019-06-23,171.49999999999994,750.9,1013.8000000000001,1405.3,740.4
2019-06-24,600.9,1371.0,2292.0,565.9714285714285,696.9999999999999
2019-06-25,236.49999999999994,759.6000000000001,1121.8999999999999,956.6785714285713,465.3
2019-06-26,185.20000000000002,467.50000000000006,751.3000000000001,1651.5,307.1000000000001
2019-06-27,247.9000000000001,504.6000000000001,884.9999999999999,1409.6,462.5
2019-06-28,240.8,586.5,955.8,1075.7,630.8000000000001
2019-06-29,363.42,1082.2599999999998,1640.1066666666668,768.9272727272728,759.1
2019-06-30,549.58,992.1400000000001,1835.1933333333336,912.0477272727272,353.70000000000005
2019-07-01,651.5000000000001,875.1,1873.8999999999999,921.2249999999999,295.59999999999997
2019-07-02,329.59999999999997,585.0999999999999,1089.9999999999998,981.6999999999997,310.15000000000003
2019-07-03,325.30000000000007,756.4,1254.6,1220.0,440.80000000000007
2019-07-04,425.90000000000003,921.1999999999999,1574.6,1204.3000000000002,444.99999999999994
2019-07-05,737.6,1532.3000000000002,2663.2,1070.7,522.4000000000002
