MeasurementDateGMT,City of London - The Aldgate School: Nitric Oxide (ug/m3),City of London - The Aldgate School: Nitrogen Dioxide (ug/m3),City of London - The Aldgate School: Oxides of Nitrogen (ug/m3),City of London - The Aldgate School: PM10 Particulate (ug/m3),City of London - The Aldgate School: PM2.5 Particulate (ug/m3)
2020-03-09,102.60000000000001,663.0,820.3000000000001,328.0,240.0
2020-03-10,58.7,500.8,590.8,162.0,108.0
2020-03-11,54.29999999999999,530.0,613.3000000000001,239.0,161.0
2020-03-12,60.8,468.80000000000007,562.1,339.04301075268813,263.0
2020-03-13,108.89999999999999,761.9,928.8000000000001,368.1290322580645,261.0
2020-03-14,51.2,451.9,530.3,374.3225806451613,202.0
2020-03-15,45.4,481.0,550.6999999999999,380.51612903225816,179.0
2020-03-16,154.70000000000002,854.6999999999999,1091.4,386.7096774193548,259.0
2020-03-17,53.100000000000016,540.5,621.9,392.90322580645164,267.0
2020-03-18,49.3,484.59999999999997,560.3000000000001,399.0967741935484,248.0
2020-03-19,69.39999999999999,479.1000000000001,585.5,408.2795698924731,341.0
2020-03-20,48.0,271.6,345.59999999999997,372.0,207.0
2020-03-21,44.80000000000001,338.5,406.50000000000006,431.0,246.0
2020-03-22,35.4,333.5,387.80000000000007,457.0,317.0
2020-03-23,98.39999999999998,725.2,876.2,543.0,365.0
2020-03-24,31.4,406.2,454.7,449.0,382.0
2020-03-25,235.59999999999997,817.9000000000003,1178.9999999999998,705.0,919.2968299711814
2020-03-26,18.26440677966102,391.34237288135597,418.7389830508474,792.0,884.4380403458214
2020-03-27,16.311864406779662,226.35254237288137,250.82033898305085,851.0,849.579250720461
2020-03-28,12.22372881355932,87.2050847457627,105.84067796610172,527.0,814.7204610951007
2020-03-29,12.625000000000004,66.47500000000001,85.84999999999998,424.3070539419087,779.8616714697407
2020-03-30,36.025,201.275,256.2500000000001,463.8672199170124,745.0028818443803
2020-03-31,30.0,250.50000000000003,296.2,516.4481327800829,710.14409221902
2020-04-01,48.705,388.485625,463.49375,569.0290456431536,675.2853025936598
2020-04-02,13.619999999999997,402.14250000000004,423.97499999999985,621.609958506224,640.4265129682996
2020-04-03,16.5,451.4625,477.9749999999998,674.1908713692947,605.5677233429394
2020-04-04,19.38,500.7825,531.9749999999998,726.7717842323652,570.7089337175793
2020-04-05,22.26,550.1025000000001,585.9749999999998,779.3526970954356,535.850144092219
2020-04-06,25.14,599.4225,639.9749999999997,831.9336099585062,500.9913544668588
2020-04-07,28.02,648.7424999999998,693.9749999999997,884.5145228215767,466.1325648414985
2020-04-08,29.075,838.809375,884.9562499999997,1013.9751037344398,680.9942363112392
2020-04-09,134.0,966.9999999999999,1172.1999999999998,1195.0,1014.0
2020-04-10,58.800000000000004,774.1999999999999,864.0999999999999,941.0,727.0
2020-04-11,109.99999999999999,852.5999999999997,1020.9000000000003,690.0,577.0
2020-04-12,13.1,316.00000000000006,336.29999999999995,498.0,494.0
2020-04-13,11.800000000000002,57.1,76.0,358.0,271.0
2020-04-14,26.099999999999998,210.20000000000002,250.4,296.0,268.0
2020-04-15,43.699999999999996,613.6999999999999,680.8,617.0,484.0
2020-04-16,82.50000000000001,793.1999999999998,920.2,1099.0,805.0
2020-04-17,29.699999999999996,279.40000000000003,325.3999999999999,477.0,301.0
2020-04-18,20.100000000000005,302.20000000000005,333.49999999999994,552.0,401.0
2020-04-19,33.800000000000004,237.5,289.19999999999993,453.0,328.0
2020-04-20,28.299999999999994,223.30000000000004,267.00000000000006,521.0,304.0
2020-04-21,26.5,265.4,305.6,639.0,318.0
2020-04-22,33.400000000000006,311.40000000000003,362.8,635.0,393.0
2020-04-23,42.800000000000004,468.0,533.8,726.0,522.0
2020-04-24,35.099999999999994,403.69999999999993,457.6,621.0,509.0
2020-04-25,13.799999999999999,238.4,259.20000000000005,373.0,349.0
2020-04-26,17.90000000000001,273.1,299.90000000000003,348.0,347.0
2020-04-27,40.550000000000004,421.2500000000001,483.1,498.0,420.0
2020-04-28,22.999999999999996,241.6,277.2,223.0,228.0
2020-04-29,18.900000000000002,193.89999999999998,222.64999999999998,258.0,190.0
2020-04-30,2.6582278481012653,159.37974683544303,160.96708860759495,308.0,178.0
2020-05-01,7.762025316455696,188.90886075949365,198.1518987341772,277.0,177.0
2020-05-02,12.865822784810128,218.4379746835443,235.3367088607595,172.0,174.0
2020-05-03,17.96962025316456,247.96708860759497,272.5215189873418,281.0,240.0
2020-05-04,23.073417721518982,277.49620253164557,309.7063291139241,359.0,275.0
2020-05-05,28.17721518987341,307.0253164556962,346.8911392405064,338.0,199.0
2020-05-06,24.893670886075945,390.8348101265823,426.9253164556963,452.0,343.0
2020-05-07,85.0,531.8000000000002,661.9000000000002,538.0,406.0
2020-05-08,25.5,611.5999999999999,650.6,432.0,432.0
2020-05-09,26.599999999999998,661.2000000000003,701.85,723.0,643.0
2020-05-10,17.299999999999994,196.2,222.60000000000002,533.0,396.0
2020-05-11,24.500000000000004,98.50000000000001,136.0,270.0,171.0
2020-05-12,55.699999999999996,318.2000000000001,404.0,237.0,207.0
2020-05-13,27.89999999999999,196.09999999999997,239.0,240.0,203.0
2020-05-14,42.79999999999999,277.4,343.09999999999997,207.0,207.0
2020-05-15,55.60000000000001,453.40000000000003,538.9,283.0,251.0
2020-05-16,24.2,334.7999999999999,371.90000000000003,207.0,191.0
2020-05-17,21.3,337.7999999999999,370.4000000000001,249.0,215.0
2020-05-18,26.8,316.0,356.9,268.0,213.0
2020-05-19,36.8,392.99999999999994,449.5000000000001,265.0,172.0
2020-05-20,45.6,446.0,515.5,270.0,206.0
2020-05-21,43.80000000000001,460.2,527.4999999999999,398.0,287.0
2020-05-22,14.899999999999999,203.50000000000003,226.49999999999997,545.0,295.0
2020-05-23,12.1,132.4,151.20000000000002,426.0,258.0
2020-05-24,15.200000000000001,208.2,231.8,340.0,283.0
2020-05-25,25.7,287.9999999999999,327.2999999999999,301.0,309.0
2020-05-26,35.69999999999999,423.19999999999993,477.4,322.5,247.0
2020-05-27,52.699999999999996,564.6999999999999,645.3999999999997,376.0,287.0
2020-05-28,40.8,298.4,360.8,326.0,216.0
2020-05-29,54.19999999999999,387.5,470.6000000000001,406.0,265.0
2020-05-30,45.800000000000004,296.7,366.80000000000007,439.0,314.0
2020-05-31,13.4,218.4,238.39999999999995,324.0,223.0
2020-06-01,35.75,326.04999999999995,381.09999999999997,367.5,232.0
2020-06-02,40.900000000000006,400.6,463.2,371.0,252.0
