MeasurementDateGMT,Croydon - Norbury Manor: PM2.5 Particulate (ug/m3)
2019-11-14,185.0526315789474
2019-11-15,227.89473684210526
2019-11-16,280.0
2019-11-17,638.0
2019-11-18,189.0
2019-11-19,385.0
2019-11-20,204.0
2019-11-21,509.0
2019-11-22,138.0
2019-11-23,296.0
2019-11-24,275.0
2019-11-25,88.0
2019-11-26,90.0
2019-11-27,136.0
2019-11-28,188.0
2019-11-29,390.0
2019-11-30,350.0
2019-12-01,230.0
2019-12-02,503.0
2019-12-03,355.0
2019-12-04,543.0
2019-12-05,493.0
2019-12-06,133.0
2019-12-07,156.0
2019-12-08,207.0
2019-12-09,233.0
2019-12-10,211.0
2019-12-11,160.0
2019-12-12,130.0
2019-12-13,185.0
2019-12-14,206.0
2019-12-15,179.0
2019-12-16,219.0
2019-12-17,267.0
2019-12-18,197.0
2019-12-19,225.0
2019-12-20,129.0
2019-12-21,169.0
2019-12-22,180.0
2019-12-23,200.0
2019-12-24,187.0
2019-12-25,343.0
2019-12-26,199.0
2019-12-27,348.0
2019-12-28,351.0
2019-12-29,365.0
2019-12-30,525.0
2019-12-31,554.0
2020-01-01,799.0
2020-01-02,189.0
2020-01-03,201.0
2020-01-04,220.0
2020-01-05,153.0
2020-01-06,183.0
2020-01-07,200.0
2020-01-08,253.0
2020-01-09,106.0
2020-01-10,182.0
2020-01-11,165.0
2020-01-12,110.0
2020-01-13,122.0
2020-01-14,135.0
2020-01-15,147.0
2020-01-16,157.0
2020-01-17,131.0
2020-01-18,294.0
2020-01-19,567.0
2020-01-20,642.0
2020-01-21,707.0
2020-01-22,724.0
2020-01-23,424.0
2020-01-24,363.0
2020-01-25,517.0
2020-01-26,355.0
2020-01-27,125.0
2020-01-28,124.0
2020-01-29,190.0
2020-01-30,145.0
2020-01-31,64.0
2020-02-01,165.0
2020-02-02,251.0
2020-02-03,230.0
2020-02-04,196.0
2020-02-05,439.0
2020-02-06,444.0
2020-02-07,516.0
