MeasurementDateGMT,Bexley - Belvedere West FDMS: PM10 Particulate (ug/m3)
2020-07-31,569.4875
2020-08-01,162.6625
2020-08-02,123.40000000000003
2020-08-03,165.7
2020-08-04,159.0
2020-08-05,135.6
2020-08-06,221.70000000000002
2020-08-07,549.9
2020-08-08,684.5
2020-08-09,627.7999999999998
2020-08-10,822.2
2020-08-11,988.8000000000001
2020-08-12,1284.6000000000001
2020-08-13,651.8000000000001
2020-08-14,355.3
2020-08-15,483.8
2020-08-16,605.8
2020-08-17,205.3
2020-08-18,131.9
2020-08-19,174.0
2020-08-20,115.47122791119166
2020-08-21,115.65129134571815
2020-08-22,117.63479836882647
2020-08-23,119.61830539193475
2020-08-24,121.60181241504306
2020-08-25,123.58531943815136
2020-08-26,125.56882646125965
2020-08-27,127.55233348436794
2020-08-28,129.53584050747622
2020-08-29,131.51934753058453
2020-08-30,133.5028545536928
2020-08-31,135.4863615768011
2020-09-01,137.4698685999094
2020-09-02,139.45337562301768
2020-09-03,141.43688264612598
2020-09-04,143.42038966923425
2020-09-05,145.40389669234256
2020-09-06,147.38740371545083
2020-09-07,149.37091073855913
2020-09-08,151.35441776166743
2020-09-09,153.33792478477574
2020-09-10,155.321431807884
2020-09-11,157.3049388309923
2020-09-12,159.2884458541006
2020-09-13,161.2719528772089
2020-09-14,163.2554599003172
2020-09-15,165.2389669234255
2020-09-16,167.22247394653377
2020-09-17,169.20598096964207
2020-09-18,171.18948799275037
2020-09-19,173.17299501585865
2020-09-20,175.15650203896692
2020-09-21,177.14000906207522
2020-09-22,179.12351608518352
2020-09-23,181.10702310829183
2020-09-24,183.0905301314001
2020-09-25,185.0740371545084
2020-09-26,187.05754417761668
2020-09-27,189.04105120072498
2020-09-28,191.02455822383325
2020-09-29,193.00806524694156
2020-09-30,194.99157227004986
2020-10-01,196.97507929315816
2020-10-02,198.95858631626643
2020-10-03,200.9420933393747
2020-10-04,202.925600362483
2020-10-05,204.9091073855913
2020-10-06,206.8926144086996
2020-10-07,208.8761214318079
2020-10-08,210.85962845491616
2020-10-09,212.8431354780245
2020-10-10,214.82664250113277
2020-10-11,216.81014952424107
2020-10-12,218.79365654734931
2020-10-13,220.77716357045767
2020-10-14,222.76067059356595
2020-10-15,224.74417761667428
2020-10-16,226.72768463978252
2020-10-17,228.71119166289083
2020-10-18,230.6946986859991
2020-10-19,232.6782057091074
2020-10-20,234.6617127322157
2020-10-21,236.64521975532395
2020-10-22,238.6287267784323
2020-10-23,240.61223380154058
2020-10-24,242.59574082464883
2020-10-25,244.57924784775713
