MeasurementDateGMT,Enfield - Bush Hill Park: Nitric Oxide (ug/m3),Enfield - Bush Hill Park: Nitrogen Dioxide (ug/m3),Enfield - Bush Hill Park: Oxides of Nitrogen (ug/m3)
2018-08-12,44.800000000000004,365.40000000000003,434.2
2018-08-13,29.500000000000004,284.5,329.8
2018-08-14,27.7,228.59999999999997,270.8
2018-08-15,48.70000000000001,304.00000000000006,378.79999999999995
2018-08-16,93.0,393.8999999999999,537.0
2018-08-17,116.10000000000002,339.19999999999993,516.9999999999999
2018-08-18,43.09999999999999,290.6,356.9
2018-08-19,28.0,186.39999999999998,229.00000000000003
2018-08-20,49.70000000000001,326.6,402.50000000000006
2018-08-21,48.39999999999999,441.70000000000005,516.8
2018-08-22,68.0,477.60000000000014,581.8999999999999
2018-08-23,37.6,301.59999999999997,359.29999999999984
2018-08-24,17.700000000000003,184.29999999999998,211.6
2018-08-25,84.5,330.9,460.50000000000006
2018-08-26,323.19999999999993,499.7999999999999,995.5
2018-08-27,12.299999999999999,147.00000000000003,166.20000000000002
2018-08-28,108.10000000000001,633.4,799.1
2018-08-29,143.10000000000002,553.9999999999999,773.1999999999997
2018-08-30,40.79999999999999,424.1,486.8
2018-08-31,59.79999999999999,589.9,681.2999999999998
2018-09-01,206.20000000000002,796.5999999999999,1112.9
2018-09-02,91.79999999999998,716.0,856.9000000000001
2018-09-03,147.6000000000001,760.5999999999999,987.1999999999999
2018-09-04,13.3,304.29999999999995,324.70000000000005
2018-09-05,17.3,248.70000000000002,275.0999999999999
2018-09-06,42.050000000000004,413.75000000000006,478.4999999999999
2018-09-07,21.0,324.8,357.3999999999999
2018-09-08,100.80000000000001,605.8999999999999,760.5999999999999
2018-09-09,20.499999999999996,243.39999999999995,274.8
2018-09-10,49.30000000000001,335.8,411.30000000000007
2018-09-11,66.80000000000001,331.6000000000001,433.9
2018-09-12,174.1,395.5,662.7
2018-09-13,427.0999999999999,608.9,1263.5999999999997
2018-09-14,60.99999999999999,562.2,655.4
2018-09-15,72.2,422.4,532.8
2018-09-16,41.199999999999996,388.7,451.9
2018-09-17,52.699999999999996,583.5,665.0000000000001
2018-09-18,43.199999999999996,309.9,376.40000000000003
2018-09-19,46.699999999999996,258.90000000000003,330.7
2018-09-20,54.5,291.70000000000005,374.8
2018-09-21,19.0,180.10000000000002,209.20000000000002
2018-09-22,45.10000000000001,436.1999999999999,505.8
2018-09-23,25.299999999999997,299.4,338.09999999999997
2018-09-24,264.9,637.2000000000002,1043.0
2018-09-25,684.9000000000001,1123.9,2174.4999999999995
2018-09-26,688.6000000000001,1293.9000000000003,2350.0000000000005
2018-09-27,401.45,1093.8500000000001,1710.2999999999997
2018-09-28,31.4,376.8,425.4
2018-09-29,260.2,866.9000000000001,1265.8
2018-09-30,273.30000000000007,515.6999999999998,934.7
2018-10-01,49.19999999999999,393.6000000000001,469.0
2018-10-02,29.5,251.4,296.70000000000005
2018-10-03,532.0,599.7,1415.2
2018-10-04,348.49999999999994,710.6999999999999,1245.2
2018-10-05,797.4,1192.6,2415.5
2018-10-06,235.10000000000005,313.8,674.4999999999999
2018-10-07,212.2,522.3000000000001,847.1999999999999
2018-10-08,298.99999999999994,974.7,1433.4
2018-10-09,517.6,1052.1999999999998,1845.9999999999998
2018-10-10,564.0,1030.9,1895.8
2018-10-11,57.900000000000006,566.2,655.0999999999999
2018-10-12,60.6,397.0,489.69999999999993
2018-10-13,51.9,376.40000000000003,456.0
2018-10-14,13.8,200.70000000000002,222.3
2018-10-15,39.1,479.6,539.1999999999999
2018-10-16,188.9,701.2,990.6999999999999
2018-10-17,159.4,836.9000000000003,1081.6499999999999
2018-10-18,70.0,626.8000000000001,733.9000000000002
2018-10-19,702.7999999999998,866.3000000000001,1943.7
2018-10-20,1322.3,1130.2,3158.0000000000005
2018-10-21,553.6,647.2,1495.9999999999995
2018-10-22,211.10000000000002,586.7,910.5999999999999
2018-10-23,96.9,511.20000000000005,659.9000000000001
2018-10-24,71.0,539.9000000000001,648.9
2018-10-25,218.19999999999996,573.5,907.8999999999999
2018-10-26,30.999999999999993,429.5999999999999,477.2
2018-10-27,30.800000000000004,216.0,263.40000000000003
2018-10-28,38.49999999999999,295.20000000000005,354.5999999999999
2018-10-29,82.8,453.3,579.9
2018-10-30,88.2,504.00000000000006,639.4000000000001
2018-10-31,1004.9000000000002,1165.6000000000001,2706.1
2018-11-01,504.00000000000006,953.2000000000002,1725.9
2018-11-02,1365.0,1032.0,3125.2
2018-11-03,841.9000000000001,1051.3,2342.3
2018-11-04,165.25,863.0500000000002,1116.4500000000003
2018-11-05,1010.8,921.5,2471.5
2018-11-06,810.6999999999998,732.4,1975.8999999999996
2018-11-07,100.99999999999999,550.4,705.1999999999999
2018-11-08,153.3,836.5,1071.8
2018-11-09,199.39999999999998,660.8000000000001,965.9000000000001
2018-11-10,178.8,823.9999999999999,1098.1999999999998
2018-11-11,72.7,664.1,775.8000000000001
2018-11-12,156.0,852.6,1091.0
2018-11-13,123.7,732.9,923.4000000000001
2018-11-14,292.0,884.2000000000002,1332.2
2018-11-15,492.7000000000001,904.4,1659.7999999999997
2018-11-16,292.1,715.1,1162.8999999999999
2018-11-17,292.0,899.2,1347.1
2018-11-18,119.1,668.5000000000001,852.0
2018-11-19,102.39999999999999,508.79999999999995,666.0
2018-11-20,126.89999999999999,572.8000000000001,767.6000000000001
2018-11-21,722.3,1030.6,2138.6000000000004
2018-11-22,1245.2999999999997,1030.8,2940.1999999999994
2018-11-23,505.1,1035.3,1810.3000000000002
2018-11-24,193.2,869.5999999999999,1165.6999999999998
2018-11-25,89.4,544.1999999999999,681.1999999999998
2018-11-26,78.75,536.3000000000001,657.25
2018-11-27,440.1,994.3000000000001,1669.1
2018-11-28,91.20000000000002,699.7,839.4999999999999
2018-11-29,50.39999999999999,391.70000000000005,468.8
2018-11-30,105.5,674.9000000000001,836.5000000000001
2018-12-01,72.5,635.9,746.6000000000003
2018-12-02,25.700000000000003,314.90000000000003,353.99999999999994
2018-12-03,32.900000000000006,432.5,482.79999999999995
2018-12-04,1302.8,1269.0,3266.2000000000003
2018-12-05,287.30000000000007,937.0000000000001,1377.4
2018-12-06,79.00000000000001,575.8,696.7
2018-12-07,22.900000000000006,308.09999999999997,343.40000000000003
2018-12-08,17.400000000000002,221.6,248.30000000000004
2018-12-09,9.100000000000001,225.4,238.79999999999998
2018-12-10,72.7,711.8000000000001,823.4
2018-12-11,1997.3999999999996,1508.6000000000004,4571.1
2018-12-12,333.50000000000006,1208.0,1719.6
2018-12-13,515.8499999999999,1216.05,2007.1499999999999
2018-12-14,852.0999999999999,1253.7,2560.1000000000004
2018-12-15,198.0,849.7000000000002,1152.8
2018-12-16,296.2000000000001,1100.8999999999999,1555.2
2018-12-17,306.49999999999994,1048.2,1518.0
2018-12-18,46.5,518.6,589.6999999999999
2018-12-19,124.6,963.05,1154.0499999999997
2018-12-20,107.79999999999998,759.0,924.6999999999998
2018-12-21,25.500000000000004,393.29999999999995,432.5
2018-12-22,27.000000000000004,468.2,509.8
2018-12-23,74.09999999999998,637.4,750.5999999999999
2018-12-24,1280.9,1023.7,2987.1000000000004
2018-12-25,2331.8,1265.9000000000003,4841.6
2018-12-26,580.0000000000001,1046.7,1936.1000000000004
2018-12-27,3175.2000000000003,1284.4999999999998,6153.0
2018-12-28,1140.6000000000001,993.1999999999999,2741.8000000000006
2018-12-29,155.0,561.3,798.6999999999999
2018-12-30,88.40000000000002,498.7999999999999,634.4999999999999
2018-12-31,16.299999999999997,219.5,244.10000000000002
2019-01-01,25.000000000000004,254.20000000000002,292.59999999999997
2019-01-02,44.7,424.79999999999995,493.29999999999995
2019-01-03,61.19999999999999,729.7,823.2
2019-01-04,106.8,829.0000000000001,992.4000000000001
2019-01-05,42.4,616.9000000000001,681.6
2019-01-06,87.5,659.1999999999999,793.0
2019-01-07,45.80000000000001,475.40000000000003,545.6
2019-01-08,50.0,459.2,535.7
2019-01-09,52.2,442.59999999999997,522.6999999999999
2019-01-10,251.9,943.4999999999998,1329.8000000000002
2019-01-11,95.80000000000003,728.3000000000001,874.9
2019-01-12,28.200000000000006,324.29999999999995,367.70000000000005
2019-01-13,22.7,141.7,176.29999999999998
2019-01-14,47.900000000000006,497.8,571.6
2019-01-15,154.4,842.1,1079.1499999999999
2019-01-16,81.60000000000001,594.3,718.9000000000002
2019-01-17,71.3,657.4000000000001,766.8000000000001
2019-01-18,1096.8,1265.6000000000001,2947.3999999999996
2019-01-19,272.90000000000003,931.9,1350.4
2019-01-20,369.7,924.2,1490.8999999999999
2019-01-21,2629.8846153846152,1293.269230769231,5325.630769230769
