MeasurementDateGMT,Redbridge - Ley Street: Nitric Oxide (ug/m3),Redbridge - Ley Street: Nitrogen Dioxide (ug/m3),Redbridge - Ley Street: Oxides of Nitrogen (ug/m3),Redbridge - Ley Street: Ozone (ug/m3),Redbridge - Ley Street: PM10 Particulate (ug/m3),Redbridge - Ley Street: PM2.5 Particulate (ug/m3)
2020-08-07,133.85,996.5000000000001,1202.0,1313.1000000000001,453.59609120521174,105.36774193548388
2020-08-08,25.300000000000004,578.7,617.3000000000001,1769.7,463.9153094462541,116.51612903225806
2020-08-09,14.299999999999997,209.6,231.60000000000002,2082.7,474.23452768729646,127.66451612903224
2020-08-10,53.4,458.09999999999997,540.4000000000001,2236.8,484.55374592833874,138.81290322580645
2020-08-11,195.1,668.1,967.4000000000002,2339.7999999999997,494.87296416938113,149.96129032258062
2020-08-12,56.4,524.1,610.6000000000003,2791.7999999999997,505.19218241042347,161.10967741935482
2020-08-13,50.50000000000001,350.79999999999995,428.35,1964.0,515.5114006514658,172.25806451612905
2020-08-14,54.04999999999999,245.7,328.79999999999995,1281.8000000000002,525.8306188925081,183.40645161290323
2020-08-15,36.300000000000004,360.20000000000005,415.8,971.9999999999999,536.1498371335505,194.55483870967743
2020-08-16,29.3,432.5,477.69999999999993,1111.6,546.4690553745928,205.7032258064516
2020-08-17,279.70000000000005,558.5999999999999,987.9000000000001,923.5000000000001,556.7882736156353,216.8516129032258
2020-08-18,148.90000000000003,295.3,523.6999999999999,1098.6000000000001,567.1074918566776,227.99999999999997
2020-08-19,71.70000000000002,393.3,503.0,638.0000000000001,577.4267100977198,239.14838709677417
2020-08-20,35.5,266.30000000000007,320.4,1334.1,587.7459283387623,250.29677419354843
2020-08-21,30.98,138.4,185.02,1514.8,587.5635179153094,298.0387096774194
2020-08-22,19.120000000000005,133.04999999999998,161.82999999999998,1502.1000000000004,377.8814102564102,184.58064516129036
2020-08-23,17.699999999999996,116.69999999999999,143.9,1228.4999999999998,248.65384615384616,223.93548387096774
2020-08-24,213.5,310.9,638.2,1038.4,257.88461538461536,233.22580645161284
2020-08-25,27.099999999999998,144.39999999999998,185.79999999999995,1222.5,267.11538461538464,242.51612903225808
2020-08-26,213.39999999999998,334.00000000000006,660.9,1107.6999999999998,276.34615384615387,251.80645161290326
2020-08-27,55.6,391.2,476.69999999999993,807.5,285.57692307692304,261.0967741935484
2020-08-28,88.49999999999999,283.4,419.1,932.9999999999999,294.8076923076924,270.3870967741935
2020-08-29,16.4,88.80000000000003,114.29999999999998,1221.3000000000002,304.0384615384615,279.67741935483866
2020-08-30,24.2,150.20000000000005,186.99999999999997,1346.3000000000002,313.2692307692307,288.96774193548396
2020-08-31,105.7,444.49999999999994,606.7999999999998,878.8000000000002,322.5,298.2580645161291
2020-09-01,652.5,726.7999999999998,1727.1000000000006,905.1999999999999,331.7307692307692,307.54838709677415
2020-09-02,364.8999999999999,708.8999999999999,1268.3,1097.1000000000001,340.96153846153845,316.83870967741933
2020-09-03,88.0,260.2000000000001,395.09999999999997,990.2999999999998,350.1923076923076,326.1290322580645
2020-09-04,659.8,514.3000000000001,1525.8999999999996,898.7000000000002,344.54166666666663,281.5322580645161
2020-09-05,43.7,382.9000000000001,449.99999999999994,795.0,341.0,238.0
2020-09-06,208.60000000000002,534.0,853.5,627.3999999999999,332.0,289.0
2020-09-07,737.7,575.5,1706.8999999999996,577.7,344.0,299.0
2020-09-08,715.9000000000001,520.4000000000001,1618.3000000000002,647.0000000000001,295.0,215.0
2020-09-09,776.7999999999998,529.7999999999998,1720.8999999999999,689.1,307.0,242.0
2020-09-10,325.49999999999994,663.4,1162.3999999999996,829.6999999999999,389.0,270.0
2020-09-11,504.7000000000001,711.7999999999998,1486.3999999999999,764.1999999999999,407.0,273.0
2020-09-12,21.900000000000002,256.8,290.4,1137.3999999999999,308.0,242.0
2020-09-13,30.9,333.1,380.29999999999995,1041.6999999999998,312.0,278.0
2020-09-14,477.1500000000001,770.5999999999999,1502.4000000000003,1042.8,449.5,341.0
2020-09-15,586.5000000000001,1167.4,2066.8999999999996,1057.8999999999999,1066.0,731.0
2020-09-16,280.40000000000003,540.9,971.0000000000001,1587.3000000000002,584.0,470.0
2020-09-17,355.6,361.2,906.2,1276.5,479.0,202.0
2020-09-18,350.7000000000001,415.49999999999994,953.1999999999998,1258.7,457.0,211.0
2020-09-19,28.4,226.79999999999998,270.7,1510.8999999999999,727.0,261.0
2020-09-20,19.8,226.29999999999998,256.59999999999997,1538.2,559.0,314.0
2020-09-21,554.3000000000001,864.0000000000001,1714.4,833.4,609.0,420.0
2020-09-22,633.7,713.4000000000002,1685.1999999999998,1318.8,645.0,479.0
2020-09-23,90.39999999999999,319.3,457.59999999999997,1453.5999999999997,323.0,261.0
2020-09-24,133.2,479.5,683.0999999999999,953.3,204.5,170.0
2020-09-25,286.79999999999995,421.4,861.4,927.2999999999997,255.0,183.0
2020-09-26,19.7,116.60000000000001,146.79999999999998,1221.0,225.0,178.0
2020-09-27,15.200000000000001,94.4,117.20000000000002,1310.4999999999998,262.0,218.0
2020-09-28,713.8000000000001,804.3000000000001,1898.7999999999995,582.0999999999999,344.0,275.0
2020-09-29,514.8,772.1,1561.2000000000003,280.9,383.0,370.0
2020-09-30,96.50000000000001,430.90000000000003,578.6000000000001,1016.3999999999999,389.0,273.0
2020-10-01,305.5,540.5000000000001,1009.0999999999999,885.2,270.0,225.0
2020-10-02,219.7,444.7,781.5999999999999,896.2,307.0,205.0
2020-10-03,41.2,370.50000000000006,433.40000000000003,1020.1,281.0,242.0
2020-10-04,27.7,256.6,299.49999999999994,1118.4000000000003,172.0,180.0
2020-10-05,337.0999999999999,478.59999999999997,995.3000000000001,768.5,338.0,225.0
