MeasurementDateGMT,Westminster - Marylebone Road FDMS: PM10 Particulate (ug/m3),Westminster - Marylebone Road FDMS: PM2.5 Particulate (ug/m3)
2019-08-25,970.6000000000001,748.6999999999999
2019-08-26,800.4000000000001,581.78
2019-08-27,703.0000000000001,400.82
2019-08-28,433.7,227.0
2019-08-29,358.5,156.99999999999997
2019-08-30,431.90000000000003,198.60000000000002
2019-08-31,437.9,195.09999999999997
2019-09-01,262.1,85.2
2019-09-02,443.50000000000006,170.1
2019-09-03,406.99999999999994,178.4
2019-09-04,324.3,54.9
2019-09-05,298.4,74.85000000000001
2019-09-06,451.0000000000001,192.89999999999998
2019-09-07,239.79999999999998,73.2
2019-09-08,255.1,90.8
2019-09-09,436.79999999999995,231.5
2019-09-10,457.2999999999999,245.00000000000003
2019-09-11,439.29999999999995,170.9
2019-09-12,434.7,206.09999999999997
2019-09-13,326.90000000000003,128.04999999999998
2019-09-14,475.90000000000003,233.7
2019-09-15,418.0,243.10000000000002
2019-09-16,380.5,246.5
2019-09-17,285.7,116.00000000000001
2019-09-18,446.0,149.1
2019-09-19,495.59999999999997,200.90000000000006
2019-09-20,688.6,295.90000000000003
2019-09-21,699.5,305.1
2019-09-22,497.59999999999997,261.8
2019-09-23,368.6,148.79999999999998
2019-09-24,385.1000000000001,192.0
2019-09-25,361.1,159.6
2019-09-26,450.0,215.0
2019-09-27,452.9,201.0
2019-09-28,386.4,154.79999999999998
2019-09-29,227.8,89.99999999999999
2019-09-30,397.7999999999999,197.5
2019-10-01,370.6,167.4
2019-10-02,259.79999999999995,105.49999999999997
2019-10-03,548.3,322.1
2019-10-04,599.6,309.0
2019-10-05,398.1,256.2
2019-10-06,292.5999999999999,156.70000000000002
2019-10-07,380.20000000000005,193.20000000000002
2019-10-08,595.0,260.7
2019-10-09,427.1,185.7
2019-10-10,498.4000000000001,218.9
2019-10-11,347.7,169.2
2019-10-12,322.6,162.7
2019-10-13,303.90000000000003,126.44999999999997
2019-10-14,403.90000000000003,218.79999999999995
2019-10-15,400.5999999999999,224.20000000000002
2019-10-16,463.50000000000006,256.79999999999995
2019-10-17,441.1000000000001,226.6
2019-10-18,408.5,181.39999999999998
2019-10-19,448.09999999999997,240.20000000000002
2019-10-20,297.5,177.10000000000002
2019-10-21,225.0,83.0
2019-10-22,618.7499999999999,458.77241379310345
2019-10-23,855.6,483.62758620689664
2019-10-24,769.4000000000002,547.3000000000001
2019-10-25,430.30000000000007,171.4
2019-10-26,318.0,151.3
2019-10-27,356.00000000000006,203.8
2019-10-28,413.0,252.7
2019-10-29,280.3,115.19999999999999
2019-10-30,563.1,310.6
2019-10-31,921.1999999999999,679.7
2019-11-01,459.7,325.2
2019-11-02,362.4,173.0
2019-11-03,485.5999999999999,271.40000000000003
2019-11-04,458.1,252.29999999999998
2019-11-05,326.1,212.49999999999997
2019-11-06,692.4,461.8
2019-11-07,474.0999999999999,240.20000000000002
2019-11-08,487.8,310.80000000000007
2019-11-09,478.2,300.6
2019-11-10,378.4,245.60000000000002
2019-11-11,427.4,218.39999999999995
2019-11-12,393.0,205.0
2019-11-13,425.2,228.4
2019-11-14,316.20000000000005,177.9
2019-11-15,344.0,209.00000000000003
2019-11-16,488.09999999999997,382.7000000000001
2019-11-17,638.4,544.3999999999999
2019-11-18,285.6,145.4
2019-11-19,814.3999999999997,550.1999999999999
2019-11-20,514.5,284.7
2019-11-21,909.8999999999999,633.6999999999999
2019-11-22,379.79999999999995,218.6
2019-11-23,478.6,337.19999999999993
2019-11-24,568.1,412.70000000000005
2019-11-25,364.59999999999997,212.9
2019-11-26,364.20000000000005,200.6
2019-11-27,354.5999999999999,226.29999999999998
