MeasurementDateGMT,Sutton - Beddington Lane north: Nitric Oxide (ug/m3),Sutton - Beddington Lane north: Nitrogen Dioxide (ug/m3),Sutton - Beddington Lane north: Oxides of Nitrogen (ug/m3),Sutton - Beddington Lane north: PM10 Particulate (ug/m3),Sutton - Beddington Lane north: PM2.5 Particulate (ug/m3)
2019-01-09,403.8,959.1,1578.6999999999996,479.0,168.0
2019-01-10,1647.5000000000005,1509.6,4035.600000000001,959.0,656.0
2019-01-11,1663.2,1455.7,4005.5000000000005,693.0,501.0
2019-01-12,161.50000000000003,422.4000000000001,670.5,261.0,99.0
2019-01-13,72.0,227.89999999999998,337.9000000000001,209.0,88.0
2019-01-14,527.8363636363637,764.2090909090911,1573.6636363636364,529.0,296.5
2019-01-15,508.0636363636363,772.1909090909091,1551.1363636363637,368.0,113.0
2019-01-16,435.40000000000003,684.4,1351.6,277.0,131.0
2019-01-17,1012.6999999999999,1201.1000000000001,2754.0999999999995,620.0,256.0
2019-01-18,1055.8,1191.4,2810.4999999999995,808.0,258.0
2019-01-19,154.39999999999998,573.5,810.0,559.0,279.0
2019-01-20,898.3,1121.5000000000002,2499.0,776.0,647.0
2019-01-21,2540.750000000001,1375.9999999999998,5272.049999999998,1252.5,879.5
2019-01-22,795.3,1249.0,2468.7999999999997,372.0,216.0
2019-01-23,1350.3,1258.2000000000003,3328.7000000000003,451.0,343.0
2019-01-24,3107.9,1796.1000000000004,6561.4,869.0,709.0
2019-01-25,1053.6000000000001,1189.6000000000004,2805.099999999999,476.0,367.0
2019-01-26,179.6,321.5999999999999,597.3,204.0,86.0
2019-01-27,91.4,245.49999999999997,385.7,294.0,120.0
2019-01-28,907.0,1238.1999999999998,2629.0000000000005,722.0,189.0
2019-01-29,855.6999999999998,1371.8000000000004,2684.2999999999993,686.0,232.0
2019-01-30,2072.8,1503.9999999999995,4682.7,532.0,304.0
2019-01-31,1566.1999999999994,1140.1,3541.1,609.0,391.0
2019-02-01,114.39999999999999,772.1,947.7,378.0,301.0
2019-02-02,261.20000000000005,778.6999999999999,1179.4000000000005,401.0,277.0
2019-02-03,365.1,962.6999999999999,1522.7,435.0,185.0
2019-02-04,651.0000000000001,1110.4000000000003,2108.5,249.0,161.0
2019-02-05,784.4,1178.0,2380.699999999999,323.0,216.0
2019-02-06,732.2999999999998,1158.9500000000003,2281.3499999999995,326.0,138.5
2019-02-07,264.8,444.7,850.6999999999999,462.0,118.0
2019-02-08,256.6,424.79999999999995,818.4,310.0,106.0
2019-02-09,158.0,353.8999999999999,596.3,386.0,123.0
2019-02-10,116.4,402.40000000000003,580.8,141.0,60.0
2019-02-11,1488.9,1448.1000000000001,3731.0000000000005,753.0,212.0
