MeasurementDateGMT,Croydon - Purley Way A23: Nitric Oxide (ug/m3),Croydon - Purley Way A23: Nitrogen Dioxide (ug/m3),Croydon - Purley Way A23: Oxides of Nitrogen (ug/m3)
2019-07-13,374.2000000000001,521.5,1095.3999999999996
2019-07-14,256.9,376.00000000000006,769.5000000000002
2019-07-15,438.70000000000005,462.4,1135.2
2019-07-16,461.20000000000005,687.4,1394.5
2019-07-17,408.35,653.6499999999999,1279.4999999999998
2019-07-18,518.6999999999999,454.5,1249.8000000000002
2019-07-19,531.7,471.40000000000003,1286.8999999999999
2019-07-20,290.9,249.50000000000003,694.9000000000001
2019-07-21,214.5,215.30000000000004,544.1999999999999
2019-07-22,383.4,315.9,903.8000000000001
2019-07-23,344.80000000000007,526.8,1055.1
2019-07-24,372.9,721.3000000000001,1292.7999999999997
2019-07-25,228.70000000000002,768.6,1119.3999999999999
2019-07-26,540.8000000000001,584.0000000000001,1413.3999999999999
2019-07-27,441.60000000000014,548.6999999999999,1225.7
2019-07-28,229.09999999999997,308.8,660.1
2019-07-29,370.50000000000006,496.49999999999994,1064.5
2019-07-30,245.39999999999995,323.20000000000005,699.8000000000001
2019-07-31,329.30000000000007,329.90000000000003,834.5999999999999
2019-08-01,481.6000000000001,671.5000000000001,1410.0
2019-08-02,463.19999999999993,785.6,1496.0000000000002
2019-08-03,210.10000000000002,439.2999999999999,761.4999999999999
2019-08-04,142.9,385.7,604.4
2019-08-05,363.9000000000001,436.3,994.4000000000001
2019-08-06,274.20000000000005,312.20000000000005,732.6000000000001
2019-08-07,351.2,379.9,918.4
2019-08-08,439.1,486.1,1158.9999999999995
2019-08-09,245.60000000000008,309.99999999999994,686.5999999999999
2019-08-10,101.1,124.39999999999999,279.90000000000003
2019-08-11,110.2,180.10000000000002,348.90000000000003
2019-08-12,648.0000000000001,679.3,1673.2999999999997
2019-08-13,414.54999999999995,522.3,1157.7999999999997
2019-08-14,438.50000000000006,563.0999999999999,1235.8000000000002
2019-08-15,369.7,399.3999999999999,966.3
2019-08-16,389.2,443.09999999999997,1039.9999999999998
2019-08-17,209.69999999999996,236.8,558.3000000000001
2019-08-18,193.39999999999992,256.2,552.7
2019-08-19,327.0,350.09999999999997,851.3999999999999
2019-08-20,445.8,647.4000000000001,1331.1999999999998
2019-08-21,437.7,701.5,1373.1999999999998
2019-08-22,438.40000000000003,608.0000000000001,1280.3999999999999
2019-08-23,489.7,690.9,1441.5999999999997
2019-08-24,267.3,833.3999999999999,1243.4000000000003
2019-08-25,189.9,778.3,1069.3000000000002
2019-08-26,193.6,828.1,1124.4
2019-08-27,396.54999999999995,1058.3999999999999,1666.3499999999997
2019-08-28,386.9,556.0,1149.2
2019-08-29,402.40000000000003,497.00000000000006,1113.7999999999997
2019-08-30,373.0000000000001,523.4000000000001,1095.3
2019-08-31,358.7,536.4000000000001,1086.3999999999999
2019-09-01,317.9,512.4,999.9999999999999
2019-09-02,433.59999999999997,593.8000000000001,1258.9000000000003
2019-09-03,391.5,458.30000000000007,1058.2
2019-09-04,346.3,377.4,908.6000000000001
2019-09-05,546.3,747.6999999999999,1585.8000000000002
2019-09-06,527.8000000000001,661.8000000000001,1470.9
2019-09-07,499.9,763.7,1530.1999999999998
2019-09-08,347.09999999999997,825.0,1357.5
2019-09-09,356.3,800.1,1346.6000000000001
2019-09-10,940.9000000000001,875.8,2318.0999999999995
2019-09-11,394.8,432.90000000000003,1037.9999999999998
2019-09-12,391.59999999999997,399.40000000000003,999.4999999999999
2019-09-13,524.5999999999999,724.0999999999999,1528.5
2019-09-14,501.6000000000001,891.7,1660.8999999999999
2019-09-15,291.49999999999994,706.9999999999999,1154.1
2019-09-16,703.5999999999999,696.1999999999999,1775.0999999999997
2019-09-17,630.4,828.0000000000001,1794.0000000000002
2019-09-18,594.8000000000001,821.1,1732.9
2019-09-19,600.1999999999999,799.3,1719.7000000000003
2019-09-20,446.1,732.3000000000001,1416.3999999999999
2019-09-21,287.6,794.1999999999999,1234.8000000000002
2019-09-22,237.59999999999994,494.70000000000005,859.0000000000002
2019-09-23,384.59999999999997,441.5,1031.5
