MeasurementDateGMT,Camden - Coopers Lane: PM10 Particulate (ug/m3)
2020-04-22,555.6999999999999
2020-04-23,668.7
2020-04-24,620.4
2020-04-25,372.85
2020-04-26,355.70000000000005
2020-04-27,488.6000000000001
2020-04-28,185.39999999999998
2020-04-29,222.0
2020-04-30,178.10000000000005
2020-05-01,189.05
2020-05-02,147.29999999999998
2020-05-03,265.20000000000005
2020-05-04,315.90000000000003
2020-05-05,258.20000000000005
2020-05-06,382.1
2020-05-07,483.95
2020-05-08,403.8666666666667
2020-05-09,465.43333333333334
2020-05-10,429.6
2020-05-11,257.0
2020-05-12,209.45000000000002
2020-05-13,212.29999999999998
2020-05-14,162.1
2020-05-15,246.5
2020-05-16,190.9
2020-05-17,238.69999999999996
2020-05-18,244.18453608247424
2020-05-19,217.86804123711343
2020-05-20,224.39999999999995
2020-05-21,230.9319587628866
2020-05-22,237.46391752577318
2020-05-23,243.99587628865982
2020-05-24,250.52783505154633
2020-05-25,257.0597938144331
2020-05-26,263.59175257731954
2020-05-27,270.1237113402062
2020-05-28,276.65567010309275
2020-05-29,283.1876288659795
2020-05-30,289.7195876288659
2020-05-31,296.25154639175264
2020-06-01,302.7835051546391
2020-06-02,309.31546391752585
2020-06-03,294.53917525773187
2020-06-04,177.29999999999998
2020-06-05,142.6
2020-06-06,160.0
2020-06-07,183.89999999999998
2020-06-08,236.00000000000003
2020-06-09,297.7
2020-06-10,284.80000000000007
2020-06-11,381.59999999999997
2020-06-12,526.1999999999999
2020-06-13,462.77894736842114
2020-06-14,395.1789473684211
2020-06-15,325.4526315789474
2020-06-16,255.72631578947374
2020-06-17,252.26315789473682
2020-06-18,212.85000000000002
2020-06-19,232.14999999999998
2020-06-20,207.60000000000002
2020-06-21,196.79999999999998
2020-06-22,282.97499999999985
2020-06-23,258.1124999999999
2020-06-24,249.1124999999999
2020-06-25,240.1124999999999
2020-06-26,231.1124999999999
2020-06-27,241.27499999999998
2020-06-28,202.6
2020-06-29,276.6
2020-06-30,337.40000000000003
2020-07-01,129.60000000000005
2020-07-02,129.60000000000005
2020-07-03,129.60000000000005
2020-07-04,129.60000000000005
2020-07-05,129.60000000000005
2020-07-06,129.60000000000005
2020-07-07,129.60000000000005
2020-07-08,129.60000000000005
2020-07-09,129.60000000000005
2020-07-10,129.60000000000005
2020-07-11,129.60000000000005
2020-07-12,129.60000000000005
2020-07-13,129.60000000000005
2020-07-14,129.60000000000005
2020-07-15,129.60000000000005
2020-07-16,129.60000000000005
2020-07-17,129.60000000000005
2020-07-18,129.60000000000005
2020-07-19,129.60000000000005
2020-07-20,129.60000000000005
2020-07-21,129.60000000000005
2020-07-22,129.60000000000005
2020-07-23,129.60000000000005
2020-07-24,129.60000000000005
2020-07-25,129.60000000000005
2020-07-26,129.60000000000005
2020-07-27,129.60000000000005
2020-07-28,129.60000000000005
2020-07-29,129.60000000000005
2020-07-30,129.60000000000005
2020-07-31,129.60000000000005
2020-08-01,129.60000000000005
2020-08-02,129.60000000000005
2020-08-03,129.60000000000005
2020-08-04,129.60000000000005
2020-08-05,129.60000000000005
2020-08-06,129.60000000000005
2020-08-07,129.60000000000005
2020-08-08,129.60000000000005
2020-08-09,129.60000000000005
2020-08-10,129.60000000000005
2020-08-11,129.60000000000005
2020-08-12,129.60000000000005
2020-08-13,129.60000000000005
2020-08-14,129.60000000000005
2020-08-15,129.60000000000005
2020-08-16,129.60000000000005
2020-08-17,129.60000000000005
2020-08-18,129.60000000000005
2020-08-19,129.60000000000005
2020-08-20,129.60000000000005
2020-08-21,129.60000000000005
2020-08-22,129.60000000000005
2020-08-23,129.60000000000005
2020-08-24,129.60000000000005
2020-08-25,129.60000000000005
2020-08-26,129.60000000000005
2020-08-27,129.60000000000005
2020-08-28,129.60000000000005
2020-08-29,129.60000000000005
2020-08-30,129.60000000000005
2020-08-31,129.60000000000005
2020-09-01,129.60000000000005
2020-09-02,129.60000000000005
2020-09-03,129.60000000000005
2020-09-04,129.60000000000005
2020-09-05,129.60000000000005
2020-09-06,129.60000000000005
2020-09-07,129.60000000000005
2020-09-08,129.60000000000005
2020-09-09,129.60000000000005
2020-09-10,129.60000000000005
2020-09-11,129.60000000000005
2020-09-12,129.60000000000005
2020-09-13,129.60000000000005
2020-09-14,129.60000000000005
2020-09-15,129.60000000000005
2020-09-16,129.60000000000005
2020-09-17,129.60000000000005
2020-09-18,129.60000000000005
2020-09-19,129.60000000000005
2020-09-20,129.60000000000005
2020-09-21,129.60000000000005
2020-09-22,129.60000000000005
2020-09-23,129.60000000000005
2020-09-24,129.60000000000005
2020-09-25,129.60000000000005
2020-09-26,129.60000000000005
2020-09-27,129.60000000000005
2020-09-28,129.60000000000005
2020-09-29,129.60000000000005
2020-09-30,129.60000000000005
2020-10-01,129.60000000000005
2020-10-02,129.60000000000005
2020-10-03,129.60000000000005
2020-10-04,129.60000000000005
2020-10-05,129.60000000000005
2020-10-06,129.60000000000005
2020-10-07,129.60000000000005
2020-10-08,129.60000000000005
2020-10-09,129.60000000000005
2020-10-10,129.60000000000005
2020-10-11,129.60000000000005
2020-10-12,129.60000000000005
2020-10-13,129.60000000000005
2020-10-14,129.60000000000005
2020-10-15,129.60000000000005
2020-10-16,129.60000000000005
2020-10-17,129.60000000000005
2020-10-18,129.60000000000005
