MeasurementDateGMT, PM10 Particulate (ug/m3), Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3)
2019-03-17,257.0,248.1,528.8,909.6
2019-03-18,575.0,741.2,1306.5,2442.9
2019-03-19,570.0,1168.6,1384.8,3176.2
2019-03-20,509.0,697.0,1094.3,2163.5
2019-03-21,502.0,1142.6,1322.0,3074.0
2019-03-22,493.0,1093.6,1330.2,3006.7
2019-03-23,755.0,444.2,1068.5,1750.0
2019-03-24,739.0,487.9,1131.0,1879.3
2019-03-25,698.0,185.6,662.9,947.2
2019-03-26,943.0,1098.9,1567.8,3252.9
2019-03-27,725.0,1078.5,1668.1,3321.4
2019-03-28,974.0,2117.8,2353.2,5600.6
2019-03-29,1276.0,2454.5,2406.2,6170.2
2019-03-30,1400.0,1501.3,1641.0,3943.6
2019-03-31,957.0,146.4,779.9,1004.4
2019-04-01,975.0,413.5,1086.1,1719.9
2019-04-02,734.0,1169.9,1474.7,3268.6
2019-04-03,641.0,1537.5,1750.6,4107.9
2019-04-04,642.0,1367.3,1399.1,3495.5
2019-04-05,743.0,834.1,1330.9,2609.8
2019-04-06,671.0,230.5,935.3,1287.8
2019-04-07,1293.0,195.0,730.9,1029.7
2019-04-08,1366.0,990.1,1544.3,3062.4
2019-04-09,1196.0,328.4,1155.5,1658.9
2019-04-10,791.0,189.2,743.7,1033.9
2019-04-11,682.0,365.1,1071.7,1632.1
2019-04-12,705.0,904.3,1416.7,2803.3
2019-04-13,606.0,583.0,1237.5,2131.0
2019-04-14,693.0,379.7,990.2,1572.4
2019-04-15,1203.0,455.3,1215.0,1913.2
2019-04-16,1729.0,1604.4,2133.1,4593.15
2019-04-17,1663.0,1574.0,1889.2,4302.8
2019-04-18,1685.0,573.3,1635.9,2514.3
2019-04-19,1224.0,430.8,1672.4,2332.7
2019-04-20,1049.0,628.8,1582.9,2546.9
2019-04-21,1099.0,399.5,1545.7,2158.1
2019-04-22,1502.0,676.1,2038.6,3075.2
2019-04-23,1355.0,753.7,2239.9,3395.6
2019-04-24,1039.0,1250.1,1693.8,3610.1
2019-04-25,608.0,872.5,1385.4,2722.8
2019-04-26,580.0,1475.5,1621.8,3884.0
2019-04-27,651.0,258.1,460.1,855.6
2019-04-28,483.0,97.7,380.2,530.3
2019-04-29,772.0,832.6,1455.2,2732.0
2019-04-30,861.0,1303.1,1783.85,3781.45
2019-05-01,644.0,781.5,1302.7,2500.6
2019-05-02,462.0,492.3,956.3,1711.4
2019-05-03,560.5,858.9,1214.1,2531.3
2019-05-04,618.0,60.9,279.9,373.1
2019-05-05,622.0,318.6,647.3,1136.1
2019-05-06,457.5,413.1,766.5,1400.3
2019-05-07,666.0,1648.9,1819.3,4347.5
2019-05-08,640.0,1331.8,1495.7,3538.0
2019-05-09,557.0,814.3,1152.7,2401.3
2019-05-10,625.0,1565.8,1739.0,4139.8
2019-05-11,715.0,542.2,910.1,1741.8
2019-05-12,547.5,698.3,1125.3,2195.5
2019-05-13,638.0,847.7,1289.3,2589.2
2019-05-14,729.0,542.2,1071.7,1902.8
2019-05-15,963.0,701.7,1437.9,2514.2
2019-05-16,841.0,464.5,1161.2,1873.6
2019-05-17,851.0,424.8,1088.0,1739.3
2019-05-18,877.0,1143.2,1735.8,3488.5
2019-05-19,783.0,945.5,1422.6,2872.3
2019-05-20,668.0,349.6,1048.0,1584.0
2019-05-21,498.0,322.4,862.1,1356.3
2019-05-22,536.0,1375.1,2039.0,4147.3
2019-05-23,435.0,1044.6,1739.5,3340.9
2019-05-24,566.0,389.6,869.1,1467.0
2019-05-25,359.0,218.7,578.5,913.5
2019-05-26,303.0,337.9,476.0,993.8
2019-05-27,405.0,230.0,429.3,781.9
2019-05-28,439.0,399.2,752.5,1364.4
2019-05-29,532.0,1702.3,1457.2,4067.5
2019-05-30,508.0,567.9,700.4,1571.5
2019-05-31,328.0,1173.5,1037.0,2836.0
2019-06-01,574.0,1522.8,1758.8,4093.0
2019-06-02,427.0,734.3,1052.7,2178.7
2019-06-03,491.0,799.04,942.45,2167.33
2019-06-04,695.0,1102.14,1186.94,2875.24
2019-06-05,504.0,992.63,1091.09,2611.6
2019-06-06,528.0,883.12,995.25,2347.96
2019-06-07,591.0,773.61,899.4,2084.32
2019-06-08,452.0,664.1,803.55,1820.68
2019-06-09,466.0,554.59,707.7,1557.04
2019-06-10,447.0,445.09,611.85,1293.4
2019-06-11,502.0,335.58,516.0,1029.76
2019-06-12,471.0,226.07,420.16,766.12
2019-06-13,421.0,116.56,324.31,502.48
2019-06-14,576.0,1522.57,1407.6,3741.67
2019-06-15,506.0,1360.5,1431.7,3517.3
2019-06-16,430.0,1014.4,970.1,2525.7
2019-06-17,482.0,1061.8,1198.6,2826.5
2019-06-18,582.0,938.4,1454.8,2893.2
2019-06-19,624.0,698.0,1069.0,2139.6
2019-06-20,372.0,584.4,739.5,1635.7
2019-06-21,422.0,689.2,984.3,2040.8
