MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3)
2019-05-20,333.63,723.75,1235.16,498.1
2019-05-21,293.35,665.06,1115.08,379.4
2019-05-22,247.78,779.03,1158.94,324.0
2019-05-23,121.64,786.93,973.4,314.85
2019-05-24,235.22,637.39,997.97,409.5
2019-05-25,141.0,365.33,581.39,288.2
2019-05-26,79.53,264.18,386.22,223.5
2019-05-27,98.66,294.41,445.51,236.8
2019-05-28,226.68,473.59,821.39,246.3
2019-05-29,159.35,632.39,876.52,269.75
2019-05-30,95.25,265.51,411.51,240.55
2019-05-31,127.35,397.69,593.05,173.35
2019-06-01,94.48,592.61,737.51,223.1
2019-06-02,73.39,431.14,543.78,262.4
2019-06-03,82.25,326.2,452.42,254.8
2019-06-04,221.76,783.47,1123.66,326.2
2019-06-05,100.48,456.48,610.3,215.1
2019-06-06,128.15,603.78,800.69,215.1
2019-06-07,219.86,646.58,983.64,294.3
2019-06-08,75.16,282.66,398.24,164.4
2019-06-09,98.54,482.09,633.09,237.7
2019-06-10,267.36,518.16,927.95,223.0
2019-06-11,209.96,387.1,709.05,204.8
2019-06-12,284.06,642.29,1077.78,245.9
2019-06-13,92.22,501.99,643.39,156.6
2019-06-14,97.69,517.81,667.24,135.4
2019-06-15,64.9,493.64,593.22,145.7
2019-06-16,59.21,316.31,407.3,164.9
2019-06-17,70.45,413.33,521.12,186.9
2019-06-18,280.24,884.08,1314.0,348.6
2019-06-19,298.63,652.54,1110.52,536.4
2019-06-20,119.62,398.02,581.44,223.6
2019-06-21,206.26,541.86,858.06,344.8
2019-06-22,218.85,596.36,931.8,349.2
2019-06-23,86.28,499.12,631.36,550.5
2019-06-24,228.97,935.43,1286.68,838.85
2019-06-25,271.68,565.38,982.06,1182.3
2019-06-26,149.66,382.51,611.99,678.0
2019-06-27,136.76,361.36,571.08,240.6
2019-06-28,166.51,419.24,674.84,416.9
2019-06-29,102.5,580.67,737.95,622.0
2019-06-30,65.42,215.74,315.99,357.4
